"",BBK01.OEAC17K,BBK01.OEAC17K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:25,
2002-01,2.344,
2002-04,2.231,
2002-07,2.127,
2002-10,1.889,
2003-01,1.806,
2003-04,1.730,
2003-07,1.312,
2003-10,1.502,
2004-01,1.553,
2004-04,1.453,
2004-07,1.733,
2004-10,1.459,
2005-01,1.468,
2005-04,1.454,
2005-07,1.375,
2005-10,1.420,
2006-01,1.483,
2006-04,1.618,
2006-07,1.550,
2006-10,1.408,
2007-01,1.420,
2007-04,1.646,
2007-07,1.683,
2007-10,1.701,
2008-01,1.870,
2008-04,1.960,
2008-07,1.962,
2008-10,1.570,
2009-01,1.614,
2009-04,1.375,
2009-07,1.314,
2009-10,1.169,
2010-01,1.077,
2010-04,0.997,
2010-07,1.120,
2010-10,1.183,
2011-01,1.311,
2011-04,1.402,
2011-07,1.362,
2011-10,1.223,
2012-01,1.293,
2012-04,1.238,
2012-07,1.246,
2012-10,1.294,
2013-01,1.250,
2013-04,1.337,
2013-07,1.276,
2013-10,1.195,
2014-01,1.295,
2014-04,1.254,
2014-07,1.329,
