"",BBK01.OEAH97H,BBK01.OEAH97H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:18,
2002-01,0.542,
2002-04,0.530,
2002-07,0.535,
2002-10,0.526,
2003-01,0.487,
2003-04,0.448,
2003-07,0.406,
2003-10,0.401,
2004-01,0.384,
2004-04,0.365,
2004-07,0.357,
2004-10,0.350,
2005-01,0.344,
2005-04,0.310,
2005-07,0.288,
2005-10,0.277,
2006-01,0.278,
2006-04,0.281,
2006-07,0.286,
2006-10,0.301,
2007-01,0.314,
2007-04,0.321,
2007-07,0.335,
2007-10,0.348,
2008-01,0.346,
2008-04,0.346,
2008-07,0.339,
2008-10,0.368,
2009-01,0.385,
2009-04,0.385,
2009-07,0.397,
2009-10,0.397,
2010-01,0.377,
2010-04,0.374,
2010-07,0.358,
2010-10,0.351,
2011-01,0.356,
2011-04,0.375,
2011-07,0.383,
2011-10,0.395,
2012-01,0.422,
2012-04,0.446,
2012-07,0.446,
2012-10,0.434,
2013-01,0.409,
2013-04,0.381,
2013-07,0.366,
2013-10,0.370,
2014-01,0.359,
2014-04,0.349,
2014-07,0.341,
