"",BBK01.OXA7D8,BBK01.OXA7D8_FLAGS
"",Net total of loans (including bills of exchange) sold to/ bought from domestic households during the reporting period - of which: on-balance true sale of domestic banks (MFIs) - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:54,
2009-12,0.262,
2010-01,1.408,
2010-02,0.254,
2010-03,0.251,
2010-04,0.143,
2010-05,0.245,
2010-06,0.669,
2010-07,-0.016,
2010-08,0.295,
2010-09,0.129,
2010-10,1.024,
2010-11,2.405,
2010-12,-0.163,
2011-01,0.015,
2011-02,0.350,
2011-03,0.378,
2011-04,0.662,
2011-05,0.309,
2011-06,0.337,
2011-07,0.964,
2011-08,1.550,
2011-09,1.013,
2011-10,0.389,
2011-11,1.988,
2011-12,0.108,
2012-01,0.329,
2012-02,0.481,
2012-03,0.408,
2012-04,-3.555,
2012-05,0.454,
2012-06,0.161,
2012-07,0.565,
2012-08,0.767,
2012-09,0.150,
2012-10,0.034,
2012-11,1.613,
2012-12,0.325,
2013-01,0.259,
2013-02,0.566,
2013-03,2.731,
2013-04,0.117,
2013-05,0.524,
2013-06,2.711,
2013-07,1.345,
2013-08,0.356,
2013-09,0.076,
2013-10,0.913,
2013-11,1.582,
2013-12,0.179,
2014-01,0.271,
2014-02,-0.261,
2014-03,2.739,
2014-04,2.963,
2014-05,1.247,
2014-06,0.145,
2014-07,0.250,
2014-08,1.301,
2014-09,4.148,
2014-10,1.997,
2014-11,0.495,
2014-12,0.091,Provisional value
