"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.IE.00122.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.IE.00122.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Ireland / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:06,
2009-09,6212,
2009-10,6166,
2009-11,6187,
2009-12,5968,
2010-01,5995,
2010-02,6349,
2010-03,6861,
2010-04,6929,
2010-05,7024,
2010-06,7314,
2010-07,7337,
2010-08,7376,
2010-09,6648,
2010-10,6684,
2010-11,6223,
2010-12,6045,
2011-01,5898,
2011-02,5757,
2011-03,5700,
2011-04,5639,
2011-05,5736,
2011-06,5808,
2011-07,5944,
2011-08,5925,
2011-09,6014,
2011-10,5906,
2011-11,6066,
2011-12,6074,
2012-01,6285,
2012-02,5987,
2012-03,5996,
2012-04,6065,
2012-05,6198,
2012-06,6278,
2012-07,6373,
2012-08,6358,
2012-09,6402,
2012-10,6351,
2012-11,6102,
2012-12,6055,
2013-01,6127,
2013-02,6157,
2013-03,6137,
2013-04,5819,
2013-05,5837,
2013-06,5798,
2013-07,5149,
2013-08,5102,
2013-09,5274,
2013-10,5395,
2013-11,5566,
2013-12,5555,
2014-01,5692,
2014-02,5686,
2014-03,5745,
2014-04,5582,
2014-05,5704,
2014-06,5624,
2014-07,5674,
2014-08,5683,
2014-09,5570,
2014-10,5705,
2014-11,5453,
