"",BBK01.OEAD21P,BBK01.OEAD21P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:04,
2002-01,0.100,
2002-04,0.096,
2002-07,0.107,
2002-10,0.109,
2003-01,0.109,
2003-04,0.122,
2003-07,0.137,
2003-10,0.131,
2004-01,0.131,
2004-04,0.134,
2004-07,0.119,
2004-10,0.118,
2005-01,0.129,
2005-04,0.126,
2005-07,0.117,
2005-10,0.115,
2006-01,0.111,
2006-04,0.109,
2006-07,0.105,
2006-10,0.127,
2007-01,0.123,
2007-04,0.147,
2007-07,0.132,
2007-10,0.148,
2008-01,0.150,
2008-04,0.176,
2008-07,0.197,
2008-10,0.200,
2009-01,0.192,
2009-04,0.218,
2009-07,0.217,
2009-10,0.235,
2010-01,0.213,
2010-04,0.183,
2010-07,0.197,
2010-10,0.165,
2011-01,0.179,
2011-04,0.221,
2011-07,0.217,
2011-10,0.231,
2012-01,0.253,
2012-04,0.276,
2012-07,0.277,
2012-10,0.285,
2013-01,0.294,
2013-04,0.281,
2013-07,0.279,
2013-10,0.280,
2014-01,0.264,
2014-04,0.283,
2014-07,0.287,
