"",BBK01.OELO03M,BBK01.OELO03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:10,
2002-01,1.661,
2002-04,1.894,
2002-07,1.627,
2002-10,1.644,
2003-01,1.872,
2003-04,1.618,
2003-07,1.580,
2003-10,1.677,
2004-01,1.917,
2004-04,1.457,
2004-07,1.556,
2004-10,1.738,
2005-01,1.935,
2005-04,1.603,
2005-07,1.506,
2005-10,1.708,
2006-01,1.965,
2006-04,1.627,
2006-07,1.733,
2006-10,1.986,
2007-01,2.376,
2007-04,1.929,
2007-07,1.981,
2007-10,1.965,
2008-01,2.219,
2008-04,1.796,
2008-07,1.827,
2008-10,1.893,
2009-01,1.798,
2009-04,1.410,
2009-07,1.602,
2009-10,1.674,
2010-01,1.467,
2010-04,1.191,
2010-07,1.263,
2010-10,1.354,
2011-01,1.411,
2011-04,1.344,
2011-07,1.420,
2011-10,1.448,
2012-01,1.551,
2012-04,1.358,
2012-07,1.545,
2012-10,1.556,
2013-01,1.587,
2013-04,1.381,
2013-07,1.329,
2013-10,1.338,
2014-01,1.390,
2014-04,1.284,
2014-07,1.259,
