"",BBK01.OECB15I,BBK01.OECB15I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:03,
2002-01,0.120,
2002-04,0.110,
2002-07,0.101,
2002-10,0.099,
2003-01,0.094,
2003-04,0.088,
2003-07,0.092,
2003-10,0.088,
2004-01,0.084,
2004-04,0.078,
2004-07,0.075,
2004-10,0.068,
2005-01,0.069,
2005-04,0.077,
2005-07,0.063,
2005-10,0.063,
2006-01,0.061,
2006-04,0.057,
2006-07,0.054,
2006-10,0.059,
2007-01,0.053,
2007-04,0.053,
2007-07,0.054,
2007-10,0.049,
2008-01,0.055,
2008-04,0.054,
2008-07,0.054,
2008-10,0.049,
2009-01,0.045,
2009-04,0.050,
2009-07,0.060,
2009-10,0.058,
2010-01,0.058,
2010-04,0.059,
2010-07,0.071,
2010-10,0.072,
2011-01,0.073,
2011-04,0.066,
2011-07,0.060,
2011-10,0.049,
2012-01,0.040,
2012-04,0.040,
2012-07,0.042,
2012-10,0.045,
2013-01,0.048,
2013-04,0.050,
2013-07,0.050,
2013-10,0.056,
2014-01,0.058,
2014-04,0.055,
2014-07,0.072,
