"",BBK01.OEAD28H,BBK01.OEAD28H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:53,
2002-01,0.556,
2002-04,0.550,
2002-07,0.581,
2002-10,0.517,
2003-01,0.497,
2003-04,0.492,
2003-07,0.480,
2003-10,0.448,
2004-01,0.443,
2004-04,0.459,
2004-07,0.457,
2004-10,0.437,
2005-01,0.432,
2005-04,0.422,
2005-07,0.436,
2005-10,0.439,
2006-01,0.436,
2006-04,0.433,
2006-07,0.424,
2006-10,0.426,
2007-01,0.406,
2007-04,0.406,
2007-07,0.408,
2007-10,0.408,
2008-01,0.446,
2008-04,0.443,
2008-07,0.472,
2008-10,0.438,
2009-01,0.508,
2009-04,0.487,
2009-07,0.448,
2009-10,0.424,
2010-01,0.462,
2010-04,0.474,
2010-07,0.506,
2010-10,0.508,
2011-01,0.526,
2011-04,0.512,
2011-07,0.673,
2011-10,0.737,
2012-01,0.730,
2012-04,0.717,
2012-07,0.732,
2012-10,0.731,
2013-01,0.746,
2013-04,0.789,
2013-07,0.815,
2013-10,0.816,
2014-01,0.779,
2014-04,0.801,
2014-07,0.816,
