"",BBSF2.M.1.P.00000.TOT01.I.F.AKT.CA.00000.F05100.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.AKT.CA.00000.F05100.Z01.00_FLAGS
"",Public funds / Funds total / Shares / Canada,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:36,
2009-09,1415,
2009-10,1497,
2009-11,1758,
2009-12,1845,
2010-01,1725,
2010-02,1878,
2010-03,1934,
2010-04,2008,
2010-05,2003,
2010-06,1991,
2010-07,1932,
2010-08,1972,
2010-09,2023,
2010-10,2118,
2010-11,2611,
2010-12,2805,
2011-01,2637,
2011-02,2682,
2011-03,2496,
2011-04,2480,
2011-05,2543,
2011-06,2328,
2011-07,2422,
2011-08,2232,
2011-09,2009,
2011-10,2226,
2011-11,2157,
2011-12,2150,
2012-01,2348,
2012-02,2305,
2012-03,2141,
2012-04,2147,
2012-05,2083,
2012-06,2071,
2012-07,2281,
2012-08,2417,
2012-09,2544,
2012-10,2455,
2012-11,2096,
2012-12,2107,
2013-01,2139,
2013-02,2274,
2013-03,2316,
2013-04,2159,
2013-05,2208,
2013-06,2031,
2013-07,2173,
2013-08,2203,
2013-09,2235,
2013-10,2317,
2013-11,2244,
2013-12,2195,
2014-01,2141,
2014-02,2185,
2014-03,2250,
2014-04,2385,
2014-05,2496,
2014-06,2643,
2014-07,2771,
2014-08,2823,
2014-09,2687,
2014-10,2626,
2014-11,2691,
