"",BBK01.OEBB21V,BBK01.OEBB21V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:17,
2002-01,2.424,
2002-04,2.450,
2002-07,2.507,
2002-10,2.597,
2003-01,2.558,
2003-04,2.613,
2003-07,2.786,
2003-10,2.819,
2004-01,2.780,
2004-04,2.795,
2004-07,2.828,
2004-10,2.920,
2005-01,3.203,
2005-04,3.195,
2005-07,3.142,
2005-10,3.076,
2006-01,3.029,
2006-04,2.691,
2006-07,2.668,
2006-10,2.614,
2007-01,2.555,
2007-04,2.485,
2007-07,2.406,
2007-10,2.139,
2008-01,2.062,
2008-04,2.013,
2008-07,1.853,
2008-10,1.826,
2009-01,1.765,
2009-04,1.771,
2009-07,1.760,
2009-10,1.620,
2010-01,1.686,
2010-04,1.680,
2010-07,2.010,
2010-10,2.010,
2011-01,2.009,
2011-04,1.930,
2011-07,1.833,
2011-10,1.809,
2012-01,1.727,
2012-04,1.650,
2012-07,1.676,
2012-10,1.637,
2013-01,1.520,
2013-04,1.458,
2013-07,1.442,
2013-10,1.534,
2014-01,1.672,
2014-04,1.589,
2014-07,1.541,
