"",BBK01.OEHB02P,BBK01.OEHB02P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:32,
2002-01,1.254,
2002-04,1.305,
2002-07,1.218,
2002-10,1.137,
2003-01,1.185,
2003-04,1.306,
2003-07,1.125,
2003-10,1.061,
2004-01,1.081,
2004-04,1.042,
2004-07,1.011,
2004-10,1.018,
2005-01,1.001,
2005-04,1.033,
2005-07,1.104,
2005-10,1.062,
2006-01,1.135,
2006-04,1.204,
2006-07,1.004,
2006-10,1.085,
2007-01,1.000,
2007-04,0.987,
2007-07,1.019,
2007-10,0.958,
2008-01,1.018,
2008-04,1.106,
2008-07,1.036,
2008-10,1.025,
2009-01,1.063,
2009-04,1.092,
2009-07,1.080,
2009-10,1.223,
2010-01,1.290,
2010-04,1.283,
2010-07,1.144,
2010-10,1.154,
2011-01,1.224,
2011-04,1.274,
2011-07,1.174,
2011-10,1.106,
2012-01,1.248,
2012-04,1.124,
2012-07,1.062,
2012-10,1.021,
2013-01,1.081,
2013-04,1.166,
2013-07,1.339,
2013-10,1.235,
2014-01,1.279,
2014-04,1.329,
2014-07,1.299,
