"",BBK01.OEXO01H,BBK01.OEXO01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:50,
2002-01,5.135,
2002-04,5.113,
2002-07,4.955,
2002-10,4.943,
2003-01,4.828,
2003-04,4.797,
2003-07,4.750,
2003-10,4.820,
2004-01,4.972,
2004-04,4.038,
2004-07,4.469,
2004-10,4.578,
2005-01,4.992,
2005-04,5.364,
2005-07,5.608,
2005-10,5.796,
2006-01,5.973,
2006-04,5.947,
2006-07,5.866,
2006-10,5.765,
2007-01,5.671,
2007-04,5.771,
2007-07,5.777,
2007-10,5.695,
2008-01,5.951,
2008-04,5.979,
2008-07,5.877,
2008-10,5.827,
2009-01,6.807,
2009-04,7.042,
2009-07,7.309,
2009-10,7.451,
2010-01,7.486,
2010-04,7.203,
2010-07,7.109,
2010-10,7.116,
2011-01,8.290,
2011-04,9.027,
2011-07,8.933,
2011-10,9.036,
2012-01,10.134,
2012-04,10.841,
2012-07,10.856,
2012-10,10.733,
2013-01,10.509,
2013-04,10.166,
2013-07,9.529,
2013-10,9.165,
2014-01,8.789,
2014-04,8.292,
2014-07,8.036,
