"",BBK01.OEAK02R,BBK01.OEAK02R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:14,
2002-01,0.702,
2002-04,0.715,
2002-07,0.785,
2002-10,0.777,
2003-01,0.712,
2003-04,0.752,
2003-07,0.808,
2003-10,0.820,
2004-01,0.746,
2004-04,0.785,
2004-07,0.851,
2004-10,0.863,
2005-01,0.791,
2005-04,0.823,
2005-07,0.913,
2005-10,0.937,
2006-01,0.812,
2006-04,0.817,
2006-07,0.929,
2006-10,0.962,
2007-01,0.875,
2007-04,0.891,
2007-07,0.966,
2007-10,1.005,
2008-01,0.903,
2008-04,0.902,
2008-07,0.984,
2008-10,1.027,
2009-01,0.952,
2009-04,1.036,
2009-07,1.232,
2009-10,1.189,
2010-01,1.120,
2010-04,1.248,
2010-07,1.356,
2010-10,1.346,
2011-01,1.268,
2011-04,1.317,
2011-07,1.442,
2011-10,1.428,
2012-01,1.356,
2012-04,1.483,
2012-07,1.617,
2012-10,1.639,
2013-01,1.566,
2013-04,1.617,
2013-07,1.788,
2013-10,1.791,
2014-01,1.765,
2014-04,1.814,
2014-07,1.977,
