"",BBFB1.Q.N.DE.W00200.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.W00200.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / Industrial Countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:18,
1991-01,69.214,
1991-04,-662.744,
1991-07,259.195,
1991-10,44.346,
1992-01,-118.902,
1992-04,200.260,
1992-07,-243.321,
1992-10,-64.064,
1993-01,-232.245,
1993-04,77.112,
1993-07,908.516,
1993-10,-474.364,
1994-01,-520.795,
1994-04,-1207.739,
1994-07,354.332,
1994-10,763.274,
1995-01,-11.922,
1995-04,-360.242,
1995-07,111.567,
1995-10,717.910,
1996-01,101.802,
1996-04,-319.126,
1996-07,648.307,
1996-10,4010.745,
1997-01,2468.046,
1997-04,935.402,
1997-07,4027.921,
1997-10,625.227,
1998-01,2072.769,
1998-04,4900.163,
1998-07,-8620.716,
1998-10,8378.836,
1999-01,-2033.516,
1999-04,2124.902,
1999-07,-1487.255,
1999-10,6935.673,
2000-01,3500.880,
2000-04,-430.419,
2000-07,5577.741,
2000-10,3450.785,
2001-01,-4102.831,
2001-04,-8638.396,
2001-07,4389.544,
2001-10,3154.848,
2002-01,-1671.943,
2002-04,-1141.280,
2002-07,3676.691,
2002-10,-100.245,
2003-01,-2300.968,
2003-04,3365.886,
2003-07,747.927,
2003-10,370.403,
2004-01,1215.913,
2004-04,2721.761,
2004-07,222.402,
2004-10,4436.635,
2005-01,5763.481,
2005-04,3524.536,
2005-07,-4504.940,
2005-10,2960.233,
2006-01,4949.023,
2006-04,-3109.821,
2006-07,1261.645,
2006-10,1820.391,
2007-01,7841.648,
2007-04,11427.600,
2007-07,32406.149,
2007-10,31055.455,
2008-01,18284.183,
2008-04,17548.399,
2008-07,1007.077,
2008-10,-7977.753,
2009-01,-17663.913,
2009-04,251.233,
2009-07,7642.434,
2009-10,1910.894,
2010-01,2894.310,
2010-04,5630.911,
2010-07,6954.737,
2010-10,137.864,
2011-01,6681.413,
2011-04,5436.095,
2011-07,8212.786,
2011-10,5868.659,
2012-01,1572.946,
2012-04,11488.792,
2012-07,6102.252,
2012-10,5490.581,
2013-01,5171.053,
2013-04,3894.608,
2013-07,520.882,
2013-10,5481.006,
2014-01,4410.601,Provisional value
2014-04,8054.329,Provisional value
2014-07,5911.674,Provisional value
2014-10,6431.319,Provisional value
