"",BBFN1.M.DE.N.1.L.W1.S1P.F0.L.NV00.Z06.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.F0.L.NV00.Z06.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis foreign affiliated enterprises arising from financial operations / Foreign currency / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:05:48,
1971-12,0.715,
1972-01,0.800,
1972-02,0.850,
1972-03,0.803,
1972-04,0.797,
1972-05,0.778,
1972-06,0.770,
1972-07,0.733,
1972-08,0.737,
1972-09,0.716,
1972-10,0.722,
1972-11,0.717,
1972-12,0.765,
1973-01,0.741,
1973-02,0.688,
1973-03,0.677,
1973-04,0.683,
1973-05,0.671,
1973-06,0.656,
1973-07,0.675,
1973-08,0.682,
1973-09,0.674,
1973-10,0.674,
1973-11,0.675,
1973-12,0.765,
1974-01,0.764,
1974-02,0.778,
1974-03,0.802,
1974-04,0.803,
1974-05,0.804,
1974-06,0.808,
1974-07,0.842,
1974-08,0.845,
1974-09,0.846,
1974-10,0.843,
1974-11,0.864,
1974-12,0.829,
1975-01,0.980,
1975-02,0.973,
1975-03,1.018,
1975-04,1.040,
1975-05,1.059,
1975-06,1.034,
1975-07,1.036,
1975-08,1.055,
1975-09,1.026,
1975-10,1.053,
1975-11,0.983,
1975-12,0.861,
1976-01,0.859,
1976-02,0.851,
1976-03,0.878,
1976-04,0.898,
1976-05,0.895,
1976-06,0.897,
1976-07,0.881,
1976-08,0.878,
1976-09,0.887,
1976-10,0.886,
1976-11,0.878,
1976-12,0.886,
1977-01,0.892,
1977-02,0.903,
1977-03,0.941,
1977-04,0.908,
1977-05,0.903,
1977-06,0.915,
1977-07,0.931,
1977-08,0.965,
1977-09,0.967,
1977-10,0.973,
1977-11,0.937,
1977-12,0.946,
1978-01,0.944,
1978-02,0.946,
1978-03,0.952,
1978-04,0.944,
1978-05,0.887,
1978-06,0.915,
1978-07,0.962,
1978-08,0.950,
1978-09,0.988,
1978-10,1.007,
1978-11,0.969,
1978-12,0.973,
1979-01,0.952,
1979-02,0.919,
1979-03,0.919,
1979-04,0.915,
1979-05,0.973,
1979-06,0.937,
1979-07,1.000,
1979-08,0.988,
1979-09,1.040,
1979-10,1.051,
1979-11,0.982,
1979-12,0.988,
1980-01,0.978,
1980-02,0.970,
1980-03,0.984,
1980-04,0.970,
1980-05,0.955,
1980-06,0.945,
1980-07,0.952,
1980-08,0.955,
1980-09,0.958,
1980-10,0.991,
1980-11,0.986,
1980-12,0.993,
1981-01,0.941,
1981-02,0.956,
1981-03,0.966,
1981-04,0.974,
1981-05,0.987,
1981-06,1.008,
1981-07,1.037,
1981-08,1.091,
1981-09,1.069,
1981-10,1.060,
1981-11,1.669,
1981-12,1.701,
1982-01,1.704,
1982-02,1.714,
1982-03,1.701,
1982-04,1.693,
1982-05,1.676,
1982-06,1.664,
1982-07,1.699,
1982-08,1.700,
1982-09,1.649,
1982-10,1.649,
1982-11,1.668,
1982-12,1.480,
1983-01,1.495,
1983-02,1.394,
1983-03,1.406,
1983-04,1.424,
1983-05,1.457,
1983-06,1.478,
1983-07,1.738,
1983-08,1.744,
1983-09,1.767,
1983-10,1.761,
1983-11,1.774,
1983-12,1.877,
1984-01,1.917,
1984-02,1.937,
1984-03,1.950,
1984-04,1.952,
1984-05,1.946,
1984-06,1.678,
1984-07,1.706,
1984-08,1.807,
1984-09,1.815,
1984-10,1.810,
1984-11,1.785,
1984-12,1.751,
1985-01,1.812,
1985-02,1.968,
1985-03,2.002,
1985-04,1.887,
1985-05,1.890,
1985-06,2.002,
1985-07,1.996,
1985-08,1.959,
1985-09,1.837,
1985-10,1.767,
1985-11,1.762,
1985-12,1.564,
1986-01,1.561,
1986-02,1.536,
1986-03,1.495,
1986-04,1.580,
1986-05,1.515,
1986-06,1.556,
1986-07,1.542,
1986-08,1.683,
1986-09,1.628,
1986-10,1.652,
1986-11,1.733,
1986-12,1.634,
1987-01,2.048,
1987-02,2.032,
1987-03,2.279,
1987-04,2.277,
1987-05,2.272,
1987-06,2.235,
1987-07,2.240,
1987-08,2.242,
1987-09,2.213,
1987-10,2.205,
1987-11,2.163,
1987-12,2.075,
1988-01,2.064,
1988-02,2.046,
1988-03,2.144,
1988-04,2.131,
1988-05,2.129,
1988-06,2.230,
1988-07,2.270,
1988-08,2.276,
1988-09,2.270,
1988-10,2.339,
1988-11,2.333,
1988-12,2.172,
1989-01,2.193,
1989-02,2.174,
1989-03,2.263,
1989-04,2.274,
1989-05,2.284,
1989-06,2.188,
1989-07,2.211,
1989-08,2.247,
1989-09,2.263,
1989-10,2.248,
1989-11,2.242,
1989-12,2.284,
1990-01,1.967,
1990-02,1.909,
1990-03,1.972,
1990-04,1.965,
1990-05,1.955,
1990-06,1.997,
1990-07,1.988,
1990-08,1.951,
1990-09,1.994,
1990-10,1.945,
1990-11,1.930,
1990-12,1.905,
1991-01,1.939,
1991-02,1.974,
1991-03,2.168,
1991-04,2.144,
1991-05,1.855,
1991-06,1.858,
1991-07,1.845,
1991-08,1.960,
1991-09,1.988,
1991-10,2.005,
1991-11,2.103,
1991-12,2.206,
1992-01,2.363,
1992-02,2.423,
1992-03,2.519,
1992-04,2.539,
1992-05,2.529,
1992-06,2.611,
1992-07,2.582,
1992-08,2.703,
1992-09,2.637,
1992-10,2.601,
1992-11,2.643,
1992-12,2.667,
1993-01,2.834,
1993-02,2.879,
1993-03,2.863,
1993-04,2.849,
1993-05,2.866,
1993-06,2.882,
1993-07,2.873,
1993-08,3.002,
1993-09,3.111,
1993-10,3.389,
1993-11,3.423,
1993-12,3.465,
1994-01,3.530,
1994-02,3.430,
1994-03,3.246,
1994-04,3.320,
1994-05,3.376,
1994-06,3.321,
1994-07,3.172,
1994-08,3.259,
1994-09,3.263,
1994-10,3.142,
1994-11,3.212,
1994-12,3.264,
1995-01,3.196,
1995-02,3.212,
1995-03,3.243,
1995-04,3.160,
1995-05,3.153,
1995-06,3.501,
1995-07,3.511,
1995-08,3.535,
1995-09,3.388,
1995-10,3.966,
1995-11,4.083,
1995-12,3.947,
1996-01,3.920,
1996-02,3.889,
1996-03,3.882,
1996-04,4.080,
1996-05,3.940,
1996-06,3.958,
1996-07,4.028,
1996-08,3.924,
1996-09,3.854,
1996-10,3.852,
1996-11,3.810,
1996-12,4.464,
1997-01,4.592,
1997-02,4.718,
1997-03,5.148,
1997-04,5.080,
1997-05,5.081,
1997-06,4.993,
1997-07,5.035,
1997-08,5.093,
1997-09,5.099,
1997-10,5.078,
1997-11,5.063,
1997-12,5.587,
1998-01,5.628,
1998-02,5.749,
1998-03,5.573,
1998-04,6.195,
1998-05,6.205,
1998-06,6.191,
1998-07,6.208,
1998-08,5.928,
1998-09,6.127,
1998-10,6.839,
1998-11,6.222,
1998-12,8.730,
1999-01,8.018,
1999-02,7.759,
1999-03,7.465,
1999-04,7.231,
1999-05,6.992,
1999-06,6.845,
1999-07,6.694,
1999-08,7.111,
1999-09,6.691,
1999-10,6.885,
1999-11,6.803,
1999-12,6.878,
2000-01,6.862,
2000-02,6.988,
2000-03,6.944,
2000-04,7.454,
2000-05,7.415,
2000-06,7.573,
2000-07,20.236,
2000-08,21.426,
2000-09,22.932,
2000-10,22.291,
2000-11,21.712,
2000-12,18.227,
2001-01,18.029,
2001-02,18.086,
2001-03,19.479,
2001-04,20.186,
2001-05,21.081,
2001-06,18.919,
2001-07,18.144,
2001-08,17.685,
2001-09,17.888,
2001-10,17.716,
2001-11,17.824,
2001-12,18.097,
2002-01,18.232,
2002-02,19.486,
2002-03,17.178,
2002-04,19.305,
2002-05,22.670,
2002-06,22.446,
2002-07,23.082,
2002-08,23.018,
2002-09,23.759,
2002-10,25.542,
2002-11,25.222,
2002-12,20.058,
2003-01,18.983,
2003-02,18.920,
2003-03,18.770,
2003-04,17.984,
2003-05,17.960,
2003-06,17.945,
2003-07,20.032,
2003-08,21.675,
2003-09,21.579,
2003-10,21.990,
2003-11,21.907,
2003-12,21.411,
2004-01,21.787,
2004-02,21.755,
2004-03,22.458,
2004-04,22.302,
2004-05,22.160,
2004-06,23.321,
2004-07,23.315,
2004-08,23.191,
2004-09,22.765,
2004-10,22.418,
2004-11,22.249,
2004-12,22.820,
2005-01,23.041,
2005-02,23.101,
2005-03,23.403,
2005-04,23.490,
2005-05,23.921,
2005-06,22.922,
2005-07,22.752,
2005-08,22.693,
2005-09,22.549,
2005-10,22.315,
2005-11,22.517,
2005-12,25.376,
2006-01,25.469,
2006-02,25.526,
2006-03,27.368,
2006-04,26.642,
2006-05,26.390,
2006-06,26.407,
2006-07,27.683,
2006-08,27.299,
2006-09,28.046,
2006-10,27.381,
2006-11,28.123,
2006-12,28.022,
2007-01,26.622,
2007-02,26.651,
2007-03,26.718,
2007-04,26.867,
2007-05,26.426,
2007-06,26.440,
2007-07,26.614,
2007-08,26.473,
2007-09,25.995,
2007-10,26.278,
2007-11,25.611,
2007-12,24.176,
2008-01,24.799,
2008-02,25.570,
2008-03,25.300,
2008-04,27.342,
2008-05,27.338,
2008-06,26.378,
2008-07,25.933,
2008-08,27.181,
2008-09,27.576,
2008-10,28.338,
2008-11,28.104,
2008-12,25.594,
2009-01,26.363,
2009-02,26.645,
2009-03,24.093,
2009-04,25.857,
2009-05,25.724,
2009-06,26.115,
2009-07,28.013,
2009-08,27.392,
2009-09,27.762,
2009-10,27.882,
2009-11,27.672,
2009-12,27.203,
2010-01,23.413,
2010-02,23.685,
2010-03,24.426,
2010-04,24.704,
2010-05,25.903,
2010-06,29.022,
2010-07,28.145,
2010-08,27.903,
2010-09,26.990,
2010-10,26.105,
2010-11,26.088,
2010-12,26.115,
2011-01,25.373,
2011-02,25.059,
2011-03,24.578,
2011-04,25.831,
2011-05,25.657,
2011-06,26.002,
2011-07,26.409,
2011-08,26.768,
2011-09,27.209,
2011-10,26.446,
2011-11,25.851,
2011-12,26.185,
2012-01,26.379,
2012-02,25.978,
2012-03,27.535,
2012-04,29.105,
2012-05,28.915,
2012-06,29.090,
2012-07,29.568,
2012-08,29.361,
2012-09,28.300,
2012-10,28.015,
2012-11,27.906,
2012-12,37.524,
2013-01,38.014,
2013-02,37.942,
2013-03,38.588,
2013-04,40.475,
2013-05,40.435,
2013-06,40.402,
2013-07,31.681,
2013-08,31.771,
2013-09,28.670,
2013-10,30.703,
2013-11,30.908,
2013-12,28.304,
2014-01,37.801,
2014-02,38.298,
2014-03,37.514,
2014-04,37.602,
2014-05,38.653,
2014-06,38.712,
2014-07,38.744,
2014-08,39.146,
2014-09,39.260,
2014-10,40.238,
2014-11,39.798,
2014-12,40.621,
"","General: From January 1999, excluding national currencies of the euro-area member states.",
