"",BBFB1.Q.N.DE.FR.S1.S1.T.D.SD._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.FR.S1.S1.T.D.SD._Z._Z._Z._T._X.N_FLAGS
"",Current account / Travel / Expenditure / France,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:49,
1999-01,573.061,
1999-04,1254.695,
1999-07,1454.979,
1999-10,584.955,
2000-01,577.150,
2000-04,1263.627,
2000-07,1465.340,
2000-10,589.122,
2001-01,609.579,
2001-04,1340.472,
2001-07,1547.764,
2001-10,622.232,
2002-01,577.192,
2002-04,1127.278,
2002-07,1480.585,
2002-10,843.241,
2003-01,611.159,
2003-04,1154.303,
2003-07,1600.645,
2003-10,710.023,
2004-01,658.915,
2004-04,1130.347,
2004-07,1501.962,
2004-10,619.025,
2005-01,653.606,
2005-04,945.540,
2005-07,1486.582,
2005-10,786.588,
2006-01,480.845,
2006-04,1081.739,
2006-07,1642.917,
2006-10,663.932,
2007-01,575.995,
2007-04,960.627,
2007-07,1667.441,
2007-10,619.598,
2008-01,638.388,
2008-04,1051.024,
2008-07,1639.734,
2008-10,702.718,
2009-01,589.316,
2009-04,1111.939,
2009-07,1502.625,
2009-10,733.230,
2010-01,542.980,
2010-04,1074.161,
2010-07,1627.858,
2010-10,851.159,
2011-01,582.842,
2011-04,990.575,
2011-07,1508.424,
2011-10,686.133,
2012-01,629.275,
2012-04,1012.524,
2012-07,1536.134,
2012-10,677.558,
2013-01,563.016,
2013-04,1049.053,
2013-07,1628.643,
2013-10,851.179,
2014-01,594.112,Provisional value
2014-04,1114.492,Provisional value
2014-07,1658.784,Provisional value
2014-10,776.910,Provisional value
