"",BBK01.OEAA47K,BBK01.OEAA47K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:12,
2002-01,14.756,
2002-04,14.756,
2002-07,16.862,
2002-10,15.972,
2003-01,15.833,
2003-04,15.975,
2003-07,15.785,
2003-10,15.606,
2004-01,16.165,
2004-04,16.038,
2004-07,15.427,
2004-10,14.618,
2005-01,14.690,
2005-04,15.276,
2005-07,15.080,
2005-10,15.191,
2006-01,15.173,
2006-04,14.942,
2006-07,14.852,
2006-10,14.462,
2007-01,14.416,
2007-04,14.510,
2007-07,14.116,
2007-10,14.076,
2008-01,13.923,
2008-04,13.625,
2008-07,13.335,
2008-10,12.931,
2009-01,12.514,
2009-04,12.376,
2009-07,12.175,
2009-10,11.823,
2010-01,11.544,
2010-04,11.211,
2010-07,10.996,
2010-10,10.800,
2011-01,11.193,
2011-04,10.986,
2011-07,10.966,
2011-10,10.789,
2012-01,10.616,
2012-04,9.646,
2012-07,9.453,
2012-10,10.056,
2013-01,9.655,
2013-04,9.509,
2013-07,9.003,
2013-10,8.666,
2014-01,8.534,
2014-04,8.060,
2014-07,7.986,
