"",BBK01.OEXL01I,BBK01.OEXL01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:46,
2002-01,11.386,
2002-04,11.200,
2002-07,10.988,
2002-10,11.365,
2003-01,11.213,
2003-04,11.045,
2003-07,7.339,
2003-10,7.363,
2004-01,7.642,
2004-04,7.563,
2004-07,7.443,
2004-10,7.288,
2005-01,7.494,
2005-04,7.447,
2005-07,7.580,
2005-10,8.053,
2006-01,8.077,
2006-04,8.356,
2006-07,8.427,
2006-10,11.941,
2007-01,12.525,
2007-04,12.962,
2007-07,13.521,
2007-10,14.198,
2008-01,15.342,
2008-04,15.551,
2008-07,15.699,
2008-10,21.751,
2009-01,22.539,
2009-04,22.966,
2009-07,23.444,
2009-10,24.990,
2010-01,27.709,
2010-04,26.676,
2010-07,27.565,
2010-10,29.328,
2011-01,31.962,
2011-04,34.491,
2011-07,36.650,
2011-10,39.676,
2012-01,44.139,
2012-04,46.686,
2012-07,46.622,
2012-10,46.964,
2013-01,46.712,
2013-04,46.709,
2013-07,46.742,
2013-10,46.926,
2014-01,47.794,
2014-04,48.007,
2014-07,47.318,
