"",BBK01.OEBB08U,BBK01.OEBB08U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:02,
2002-01,7.455,
2002-04,7.518,
2002-07,7.487,
2002-10,7.657,
2003-01,7.596,
2003-04,7.617,
2003-07,7.655,
2003-10,7.726,
2004-01,7.702,
2004-04,7.670,
2004-07,7.678,
2004-10,7.573,
2005-01,8.151,
2005-04,8.018,
2005-07,8.074,
2005-10,8.019,
2006-01,8.023,
2006-04,8.059,
2006-07,8.140,
2006-10,8.214,
2007-01,8.181,
2007-04,8.188,
2007-07,8.196,
2007-10,8.527,
2008-01,8.214,
2008-04,8.137,
2008-07,8.167,
2008-10,8.144,
2009-01,8.085,
2009-04,8.925,
2009-07,9.003,
2009-10,9.014,
2010-01,8.977,
2010-04,8.941,
2010-07,9.055,
2010-10,9.084,
2011-01,9.143,
2011-04,9.183,
2011-07,9.198,
2011-10,9.142,
2012-01,9.123,
2012-04,9.170,
2012-07,9.156,
2012-10,9.162,
2013-01,9.409,
2013-04,9.423,
2013-07,9.601,
2013-10,9.749,
2014-01,9.708,
2014-04,9.735,
2014-07,9.621,
