"",BBK01.OEAB17J,BBK01.OEAB17J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:53,
2002-01,7.607,
2002-04,7.665,
2002-07,7.310,
2002-10,7.309,
2003-01,7.331,
2003-04,7.374,
2003-07,7.471,
2003-10,7.532,
2004-01,7.509,
2004-04,7.525,
2004-07,7.578,
2004-10,7.588,
2005-01,8.235,
2005-04,8.312,
2005-07,8.452,
2005-10,8.422,
2006-01,8.397,
2006-04,8.310,
2006-07,8.375,
2006-10,8.335,
2007-01,8.259,
2007-04,8.235,
2007-07,8.209,
2007-10,8.165,
2008-01,8.067,
2008-04,8.062,
2008-07,7.887,
2008-10,7.883,
2009-01,7.839,
2009-04,7.851,
2009-07,7.197,
2009-10,7.168,
2010-01,7.123,
2010-04,7.110,
2010-07,7.127,
2010-10,7.139,
2011-01,7.102,
2011-04,7.098,
2011-07,7.141,
2011-10,7.140,
2012-01,7.118,
2012-04,7.203,
2012-07,7.165,
2012-10,7.188,
2013-01,7.170,
2013-04,7.198,
2013-07,7.252,
2013-10,7.276,
2014-01,7.052,
2014-04,7.124,
2014-07,6.909,
