"",BBK01.OEAH17T,BBK01.OEAH17T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:45,
2002-01,2.924,
2002-04,2.821,
2002-07,2.701,
2002-10,2.636,
2003-01,2.595,
2003-04,2.374,
2003-07,2.334,
2003-10,2.376,
2004-01,2.323,
2004-04,2.131,
2004-07,2.160,
2004-10,2.325,
2005-01,2.260,
2005-04,2.218,
2005-07,2.358,
2005-10,2.354,
2006-01,2.378,
2006-04,2.459,
2006-07,2.637,
2006-10,2.982,
2007-01,3.038,
2007-04,3.080,
2007-07,3.268,
2007-10,3.392,
2008-01,3.625,
2008-04,3.881,
2008-07,4.011,
2008-10,3.995,
2009-01,3.269,
2009-04,2.580,
2009-07,2.328,
2009-10,2.034,
2010-01,2.005,
2010-04,1.911,
2010-07,1.838,
2010-10,1.845,
2011-01,1.869,
2011-04,1.901,
2011-07,2.077,
2011-10,2.417,
2012-01,2.746,
2012-04,2.497,
2012-07,2.778,
2012-10,2.659,
2013-01,2.616,
2013-04,2.235,
2013-07,2.172,
2013-10,2.066,
2014-01,2.271,
2014-04,2.405,
2014-07,2.206,
