"",BBFB1.M.N.DE.W1.S1.S1.T.C.G___AA1._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.G___AA1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Supplementary trade items / To exports / Additions / Exports from warehouses / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:48,
1991-01,298.054,
1991-02,295.017,
1991-03,369.364,
1991-04,267.445,
1991-05,298.639,
1991-06,347.671,
1991-07,223.253,
1991-08,339.020,
1991-09,308.197,
1991-10,382.793,
1991-11,359.968,
1991-12,483.212,
1992-01,312.642,
1992-02,265.569,
1992-03,369.256,
1992-04,380.999,
1992-05,251.595,
1992-06,287.651,
1992-07,409.914,
1992-08,323.339,
1992-09,378.648,
1992-10,438.248,
1992-11,282.882,
1992-12,416.888,
1993-01,287.576,
1993-02,292.310,
1993-03,384.261,
1993-04,317.140,
1993-05,249.645,
1993-06,267.135,
1993-07,446.059,
1993-08,416.886,
1993-09,384.904,
1993-10,396.676,
1993-11,396.044,
1993-12,514.668,
1994-01,387.223,
1994-02,380.790,
1994-03,435.779,
1994-04,437.464,
1994-05,371.789,
1994-06,449.634,
1994-07,360.440,
1994-08,441.602,
1994-09,365.747,
1994-10,249.343,
1994-11,483.436,
1994-12,660.170,
1995-01,459.722,
1995-02,360.172,
1995-03,360.678,
1995-04,277.774,
1995-05,350.515,
1995-06,376.069,
1995-07,383.900,
1995-08,373.575,
1995-09,454.325,
1995-10,431.803,
1995-11,444.357,
1995-12,439.584,
1996-01,384.977,
1996-02,391.248,
1996-03,384.305,
1996-04,356.058,
1996-05,365.339,
1996-06,360.840,
1996-07,408.419,
1996-08,319.342,
1996-09,370.046,
1996-10,360.360,
1996-11,345.526,
1996-12,384.957,
1997-01,345.475,
1997-02,366.209,
1997-03,344.465,
1997-04,377.628,
1997-05,370.758,
1997-06,400.682,
1997-07,414.732,
1997-08,302.096,
1997-09,504.472,
1997-10,471.418,
1997-11,393.435,
