"",BBK01.OECK02H,BBK01.OECK02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:42,
2002-01,2.246,
2002-04,2.306,
2002-07,2.386,
2002-10,2.382,
2003-01,2.277,
2003-04,2.373,
2003-07,2.862,
2003-10,2.505,
2004-01,2.825,
2004-04,2.877,
2004-07,2.895,
2004-10,2.750,
2005-01,3.076,
2005-04,3.741,
2005-07,3.278,
2005-10,3.278,
2006-01,3.127,
2006-04,3.158,
2006-07,3.116,
2006-10,3.233,
2007-01,3.133,
2007-04,3.209,
2007-07,3.278,
2007-10,2.982,
2008-01,3.124,
2008-04,3.137,
2008-07,3.288,
2008-10,3.597,
2009-01,4.450,
2009-04,4.562,
2009-07,4.705,
2009-10,4.588,
2010-01,4.742,
2010-04,4.798,
2010-07,4.860,
2010-10,4.918,
2011-01,5.160,
2011-04,5.130,
2011-07,5.174,
2011-10,5.254,
2012-01,5.650,
2012-04,5.767,
2012-07,5.878,
2012-10,5.963,
2013-01,6.111,
2013-04,6.174,
2013-07,6.393,
2013-10,6.519,
2014-01,7.466,
2014-04,7.338,
2014-07,7.184,
