"",BBK01.OEBB13P,BBK01.OEBB13P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:06,
2002-01,0.274,
2002-04,0.283,
2002-07,0.293,
2002-10,0.298,
2003-01,0.300,
2003-04,0.297,
2003-07,0.295,
2003-10,0.291,
2004-01,0.286,
2004-04,0.266,
2004-07,0.265,
2004-10,0.251,
2005-01,0.248,
2005-04,0.245,
2005-07,0.243,
2005-10,0.245,
2006-01,0.251,
2006-04,0.252,
2006-07,0.253,
2006-10,0.251,
2007-01,0.251,
2007-04,0.243,
2007-07,0.242,
2007-10,0.258,
2008-01,0.254,
2008-04,0.325,
2008-07,0.319,
2008-10,0.320,
2009-01,0.316,
2009-04,0.377,
2009-07,0.367,
2009-10,0.365,
2010-01,0.361,
2010-04,0.360,
2010-07,0.351,
2010-10,0.351,
2011-01,0.318,
2011-04,0.311,
2011-07,0.301,
2011-10,0.298,
2012-01,0.287,
2012-04,0.279,
2012-07,0.274,
2012-10,0.269,
2013-01,0.271,
2013-04,0.266,
2013-07,0.262,
2013-10,0.296,
2014-01,0.287,
2014-04,0.280,
2014-07,0.297,
