"",BBFB1.Q.N.DE.S3.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.S3.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / Near and Middle East countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:57,
1991-01,-0.107,
1991-04,148.473,
1991-07,-88.778,
1991-10,167.602,
1992-01,109.426,
1992-04,30.622,
1992-07,21.776,
1992-10,176.705,
1993-01,-49.068,
1993-04,-69.973,
1993-07,66.282,
1993-10,62.726,
1994-01,259.349,
1994-04,256.724,
1994-07,-9.107,
1994-10,103.876,
1995-01,32.653,
1995-04,519.065,
1995-07,186.826,
1995-10,471.538,
1996-01,706.926,
1996-04,-406.079,
1996-07,-119.026,
1996-10,419.307,
1997-01,-562.106,
1997-04,-1.183,
1997-07,242.977,
1997-10,-104.616,
1998-01,8.396,
1998-04,139.961,
1998-07,297.630,
1998-10,-113.916,
1999-01,-88.642,
1999-04,245.064,
1999-07,169.008,
1999-10,79.046,
2000-01,-94.682,
2000-04,115.158,
2000-07,214.150,
2000-10,152.436,
2001-01,-116.176,
2001-04,-125.592,
2001-07,-266.171,
2001-10,-43.685,
2002-01,143.829,
2002-04,-143.466,
2002-07,-122.007,
2002-10,-1.983,
2003-01,-196.329,
2003-04,-48.106,
2003-07,-142.988,
2003-10,-179.768,
2004-01,144.608,
2004-04,50.857,
2004-07,66.716,
2004-10,76.195,
2005-01,-1611.141,
2005-04,358.218,
2005-07,647.335,
2005-10,591.004,
2006-01,383.688,
2006-04,978.403,
2006-07,587.455,
2006-10,262.346,
2007-01,209.708,
2007-04,334.533,
2007-07,567.978,
2007-10,-144.460,
2008-01,17.989,
2008-04,322.582,
2008-07,750.036,
2008-10,-218.210,
2009-01,57.025,
2009-04,-52.677,
2009-07,-11.320,
2009-10,390.639,
2010-01,319.433,
2010-04,-37.490,
2010-07,56.392,
2010-10,216.192,
2011-01,28.242,
2011-04,-64.452,
2011-07,-209.670,
2011-10,-145.552,
2012-01,-152.712,
2012-04,-506.997,
2012-07,-197.140,
2012-10,567.659,
2013-01,-130.037,
2013-04,-146.671,
2013-07,-139.965,
2013-10,-84.970,
2014-01,14.659,Provisional value
2014-04,-139.511,Provisional value
2014-07,155.711,Provisional value
2014-10,256.485,Provisional value
