"",BBK01.OEBL08T,BBK01.OEBL08T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:02,
2002-01,0.948,
2002-04,0.734,
2002-07,0.733,
2002-10,0.792,
2003-01,0.839,
2003-04,0.834,
2003-07,0.863,
2003-10,0.878,
2004-01,0.867,
2004-04,0.864,
2004-07,0.881,
2004-10,0.895,
2005-01,1.656,
2005-04,1.652,
2005-07,1.631,
2005-10,1.653,
2006-01,1.643,
2006-04,1.601,
2006-07,1.557,
2006-10,1.563,
2007-01,1.557,
2007-04,1.534,
2007-07,1.502,
2007-10,1.523,
2008-01,1.510,
2008-04,1.517,
2008-07,1.479,
2008-10,1.458,
2009-01,1.487,
2009-04,1.495,
2009-07,1.522,
2009-10,1.586,
2010-01,1.600,
2010-04,1.581,
2010-07,1.596,
2010-10,1.616,
2011-01,1.604,
2011-04,1.580,
2011-07,1.562,
2011-10,1.576,
2012-01,1.683,
2012-04,1.663,
2012-07,1.679,
2012-10,1.737,
2013-01,1.715,
2013-04,1.705,
2013-07,1.698,
2013-10,1.704,
2014-01,1.688,
2014-04,1.668,
2014-07,1.701,
