"",BBK01.OEBL06I,BBK01.OEBL06I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:46,
2002-01,0.658,
2002-04,0.657,
2002-07,0.648,
2002-10,0.649,
2003-01,0.623,
2003-04,0.609,
2003-07,0.565,
2003-10,0.547,
2004-01,0.556,
2004-04,0.551,
2004-07,0.535,
2004-10,0.499,
2005-01,0.506,
2005-04,0.491,
2005-07,0.483,
2005-10,0.463,
2006-01,0.452,
2006-04,0.453,
2006-07,0.469,
2006-10,0.459,
2007-01,0.455,
2007-04,0.463,
2007-07,0.470,
2007-10,0.521,
2008-01,0.569,
2008-04,0.632,
2008-07,0.677,
2008-10,0.783,
2009-01,0.846,
2009-04,0.746,
2009-07,0.654,
2009-10,0.556,
2010-01,0.590,
2010-04,0.725,
2010-07,0.793,
2010-10,0.875,
2011-01,0.928,
2011-04,1.014,
2011-07,1.052,
2011-10,1.036,
2012-01,0.994,
2012-04,1.010,
2012-07,0.997,
2012-10,0.932,
2013-01,0.821,
2013-04,0.691,
2013-07,0.667,
2013-10,0.646,
2014-01,0.625,
2014-04,0.582,
2014-07,0.537,
