"",BBK01.OELK01P,BBK01.OELK01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:13,
2002-01,0.315,
2002-04,0.300,
2002-07,0.306,
2002-10,0.293,
2003-01,0.290,
2003-04,0.292,
2003-07,0.300,
2003-10,0.299,
2004-01,0.304,
2004-04,0.307,
2004-07,0.309,
2004-10,0.303,
2005-01,0.303,
2005-04,0.300,
2005-07,0.314,
2005-10,0.315,
2006-01,0.319,
2006-04,0.310,
2006-07,0.302,
2006-10,0.322,
2007-01,0.334,
2007-04,0.329,
2007-07,0.339,
2007-10,0.372,
2008-01,0.373,
2008-04,0.391,
2008-07,0.401,
2008-10,0.441,
2009-01,0.418,
2009-04,0.431,
2009-07,0.468,
2009-10,0.484,
2010-01,0.517,
2010-04,0.542,
2010-07,0.538,
2010-10,0.554,
2011-01,0.556,
2011-04,0.569,
2011-07,0.596,
2011-10,0.633,
2012-01,0.608,
2012-04,0.621,
2012-07,0.619,
2012-10,0.616,
2013-01,0.588,
2013-04,0.581,
2013-07,0.551,
2013-10,0.559,
2014-01,0.552,
2014-04,0.539,
2014-07,0.557,
