"",BBK01.OEAE06R,BBK01.OEAE06R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:34,
2002-01,0.571,
2002-04,0.566,
2002-07,0.566,
2002-10,0.561,
2003-01,0.593,
2003-04,0.596,
2003-07,0.608,
2003-10,0.587,
2004-01,0.577,
2004-04,0.567,
2004-07,0.574,
2004-10,0.565,
2005-01,0.534,
2005-04,0.543,
2005-07,0.519,
2005-10,0.509,
2006-01,0.507,
2006-04,0.496,
2006-07,0.504,
2006-10,0.484,
2007-01,0.486,
2007-04,0.473,
2007-07,0.461,
2007-10,0.464,
2008-01,0.462,
2008-04,0.461,
2008-07,0.470,
2008-10,0.479,
2009-01,0.485,
2009-04,0.502,
2009-07,0.494,
2009-10,0.487,
2010-01,0.501,
2010-04,0.503,
2010-07,0.493,
2010-10,0.491,
2011-01,0.492,
2011-04,0.497,
2011-07,0.497,
2011-10,0.499,
2012-01,0.502,
2012-04,0.524,
2012-07,0.519,
2012-10,0.522,
2013-01,0.533,
2013-04,0.563,
2013-07,0.566,
2013-10,0.568,
2014-01,0.567,
2014-04,0.576,
2014-07,0.566,
