"",BBFB1.M.N.DE.W1.S1W.S1.T.LI.FA.P.F3.L._T.M.N,BBFB1.M.N.DE.W1.S1W.S1.T.LI.FA.P.F3.L._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Long-term debt-securities / Private issuers / Purchases / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:51:14,
1991-01,496.134,
1991-02,1998.804,
1991-03,693.896,
1991-04,2076.823,
1991-05,1137.752,
1991-06,1364.856,
1991-07,1137.272,
1991-08,1480.882,
1991-09,1187.007,
1991-10,2432.339,
1991-11,1323.538,
1991-12,2190.097,
1992-01,1797.573,
1992-02,1666.013,
1992-03,1328.013,
1992-04,2202.895,
1992-05,895.487,
1992-06,929.709,
1992-07,1688.167,
1992-08,3110.028,
1992-09,5969.747,
1992-10,6586.830,
1992-11,5001.293,
1992-12,9889.627,
1993-01,7657.303,
1993-02,7004.242,
1993-03,6734.336,
1993-04,5565.207,
1993-05,4769.304,
1993-06,7617.237,
1993-07,8136.787,
1993-08,6601.460,
1993-09,5223.709,
1993-10,8861.022,
1993-11,8655.302,
1993-12,7279.597,
1994-01,8937.265,
1994-02,5529.071,
1994-03,3667.081,
1994-04,3098.052,
1994-05,4399.978,
1994-06,5102.859,
1994-07,5606.810,
1994-08,4467.562,
1994-09,5818.859,
1994-10,5607.440,
1994-11,6333.604,
1994-12,7489.831,
1995-01,7000.197,
1995-02,5375.796,
1995-03,5463.242,
1995-04,4860.227,
1995-05,6501.840,
1995-06,6191.878,
1995-07,6185.148,
1995-08,6835.025,
1995-09,9719.951,
1995-10,8391.649,
1995-11,10655.974,
1995-12,9967.797,
1996-01,16698.857,
1996-02,15917.756,
1996-03,9414.634,
1996-04,8531.517,
1996-05,8184.903,
1996-06,7321.252,
1996-07,11006.229,
1996-08,9704.391,
1996-09,9422.422,
1996-10,12528.196,
1996-11,12862.736,
1996-12,9800.512,
1997-01,13682.630,
1997-02,12660.396,
1997-03,13460.439,
1997-04,10333.977,
1997-05,7639.158,
1997-06,9785.078,
1997-07,11047.528,
1997-08,10485.428,
1997-09,10496.166,
1997-10,11155.900,
1997-11,10101.759,
1997-12,9798.758,
1998-01,17475.221,
1998-02,19178.083,
1998-03,17208.941,
1998-04,19374.616,
1998-05,13334.480,
1998-06,15377.100,
1998-07,19355.003,
1998-08,19034.179,
1998-09,25329.921,
1998-10,19235.345,
1998-11,15244.082,
1998-12,20080.976,
1999-01,26844.014,
1999-02,30091.667,
1999-03,30025.712,
1999-04,29087.607,
1999-05,25236.488,
1999-06,24885.125,
1999-07,20873.932,
1999-08,19200.990,
1999-09,30654.557,
1999-10,22102.282,
1999-11,22968.011,
1999-12,15127.699,
2000-01,20074.103,
2000-02,24484.548,
2000-03,26398.554,
2000-04,25271.482,
2000-05,30240.003,
2000-06,31478.359,
2000-07,29359.583,
2000-08,27787.624,
2000-09,35267.505,
2000-10,38514.154,
2000-11,32932.154,
2000-12,38830.358,
2001-01,56187.183,
2001-02,47615.917,
2001-03,54847.166,
2001-04,46889.804,
2001-05,46349.937,
2001-06,55461.939,
2001-07,59044.517,
2001-08,44609.057,
2001-09,47229.978,
2001-10,56082.851,
2001-11,69206.966,
2001-12,34559.496,
2002-01,52326.123,
2002-02,46586.618,
2002-03,49395.547,
2002-04,44742.797,
2002-05,40743.979,
2002-06,41283.905,
2002-07,49241.059,
2002-08,41571.597,
2002-09,45673.476,
2002-10,44499.319,
2002-11,45066.515,
2002-12,40721.039,
2003-01,55609.633,
2003-02,45773.256,
2003-03,55147.713,
2003-04,47813.762,
2003-05,43791.894,
2003-06,46527.159,
2003-07,58309.271,
2003-08,51725.507,
2003-09,56405.840,
2003-10,63811.189,
2003-11,61701.596,
2003-12,39916.588,
