"",BBK01.OEAC07R,BBK01.OEAC07R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:16,
2002-01,0.308,
2002-04,0.298,
2002-07,0.296,
2002-10,0.308,
2003-01,0.466,
2003-04,0.480,
2003-07,0.462,
2003-10,0.456,
2004-01,0.423,
2004-04,0.423,
2004-07,0.401,
2004-10,0.460,
2005-01,0.443,
2005-04,0.447,
2005-07,0.434,
2005-10,0.363,
2006-01,0.336,
2006-04,0.335,
2006-07,0.318,
2006-10,0.311,
2007-01,0.306,
2007-04,0.244,
2007-07,0.243,
2007-10,0.239,
2008-01,0.243,
2008-04,0.245,
2008-07,0.243,
2008-10,0.306,
2009-01,0.318,
2009-04,0.308,
2009-07,0.304,
2009-10,0.289,
2010-01,0.336,
2010-04,0.326,
2010-07,0.336,
2010-10,0.304,
2011-01,0.331,
2011-04,0.335,
2011-07,0.336,
2011-10,0.336,
2012-01,0.341,
2012-04,0.346,
2012-07,0.338,
2012-10,0.340,
2013-01,0.340,
2013-04,0.345,
2013-07,0.336,
2013-10,0.334,
2014-01,0.332,
2014-04,0.333,
2014-07,0.318,
