"",BBK01.OEXI01R,BBK01.OEXI01R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:31,
2002-01,1.990,
2002-04,1.931,
2002-07,1.964,
2002-10,2.024,
2003-01,1.940,
2003-04,1.962,
2003-07,1.970,
2003-10,2.027,
2004-01,1.977,
2004-04,1.964,
2004-07,2.005,
2004-10,1.690,
2005-01,1.661,
2005-04,1.638,
2005-07,1.754,
2005-10,1.829,
2006-01,1.855,
2006-04,1.908,
2006-07,1.894,
2006-10,1.986,
2007-01,2.067,
2007-04,2.208,
2007-07,2.248,
2007-10,2.364,
2008-01,2.538,
2008-04,2.617,
2008-07,2.626,
2008-10,2.836,
2009-01,2.980,
2009-04,3.043,
2009-07,3.159,
2009-10,3.501,
2010-01,3.335,
2010-04,3.531,
2010-07,3.569,
2010-10,3.567,
2011-01,3.621,
2011-04,3.711,
2011-07,3.820,
2011-10,3.921,
2012-01,3.871,
2012-04,4.029,
2012-07,4.281,
2012-10,4.339,
2013-01,4.516,
2013-04,4.360,
2013-07,4.523,
2013-10,4.321,
2014-01,4.433,
2014-04,4.528,
2014-07,4.643,
