"",BBK01.OELI06J,BBK01.OELI06J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:58,
2002-01,0.162,
2002-04,0.156,
2002-07,0.152,
2002-10,0.134,
2003-01,0.126,
2003-04,0.123,
2003-07,0.123,
2003-10,0.119,
2004-01,0.125,
2004-04,0.129,
2004-07,0.131,
2004-10,0.135,
2005-01,0.124,
2005-04,0.113,
2005-07,0.109,
2005-10,0.103,
2006-01,0.109,
2006-04,0.111,
2006-07,0.127,
2006-10,0.152,
2007-01,0.176,
2007-04,0.191,
2007-07,0.209,
2007-10,0.214,
2008-01,0.235,
2008-04,0.249,
2008-07,0.271,
2008-10,0.253,
2009-01,0.209,
2009-04,0.179,
2009-07,0.143,
2009-10,0.143,
2010-01,0.134,
2010-04,0.119,
2010-07,0.092,
2010-10,0.108,
2011-01,0.115,
2011-04,0.111,
2011-07,0.110,
2011-10,0.115,
2012-01,0.093,
2012-04,0.076,
2012-07,0.073,
2012-10,0.079,
2013-01,0.047,
2013-04,0.035,
2013-07,0.032,
2013-10,0.033,
2014-01,0.022,
2014-04,0.022,
2014-07,0.020,
