"",BBK01.OEAH62U,BBK01.OEAH62U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:33,
2002-01,0.026,
2002-04,0.016,
2002-07,0.014,
2002-10,0.022,
2003-01,0.020,
2003-04,0.014,
2003-07,0.013,
2003-10,0.014,
2004-01,0.015,
2004-04,0.011,
2004-07,0.009,
2004-10,0.008,
2005-01,0.024,
2005-04,0.032,
2005-07,0.033,
2005-10,0.033,
2006-01,0.037,
2006-04,0.048,
2006-07,0.049,
2006-10,0.052,
2007-01,0.055,
2007-04,0.055,
2007-07,0.065,
2007-10,0.096,
2008-01,0.108,
2008-04,0.095,
2008-07,0.112,
2008-10,0.131,
2009-01,0.119,
2009-04,0.111,
2009-07,0.099,
2009-10,0.085,
2010-01,0.076,
2010-04,0.073,
2010-07,0.068,
2010-10,0.056,
2011-01,0.054,
2011-04,0.071,
2011-07,0.070,
2011-10,0.085,
2012-01,0.093,
2012-04,0.068,
2012-07,0.062,
2012-10,0.058,
2013-01,0.048,
2013-04,0.041,
2013-07,0.035,
2013-10,0.036,
2014-01,0.030,
2014-04,0.029,
2014-07,0.026,
