"",BBK01.OECB23I,BBK01.OECB23I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:06,
2002-01,0.068,
2002-04,0.067,
2002-07,0.059,
2002-10,0.048,
2003-01,0.045,
2003-04,0.044,
2003-07,0.042,
2003-10,0.041,
2004-01,0.039,
2004-04,0.037,
2004-07,0.035,
2004-10,0.004,
2005-01,0.002,
2005-04,0.001,
2005-07,0.001,
2005-10,-,Nothing exists
2006-01,-,Nothing exists
2006-04,-,Nothing exists
2006-07,-,Nothing exists
2006-10,-,Nothing exists
2007-01,0.020,
2007-04,0.020,
2007-07,0.020,
2007-10,0.020,
2008-01,0.020,
2008-04,0.020,
2008-07,-,Nothing exists
2008-10,-,Nothing exists
2009-01,-,Nothing exists
2009-04,-,Nothing exists
2009-07,-,Nothing exists
2009-10,-,Nothing exists
2010-01,-,Nothing exists
2010-04,-,Nothing exists
2010-07,0.001,
2010-10,0.001,
2011-01,-,Nothing exists
2011-04,-,Nothing exists
2011-07,0.002,
2011-10,0.002,
2012-01,0.002,
2012-04,0.002,
2012-07,0.002,
2012-10,-,Nothing exists
2013-01,-,Nothing exists
2013-04,-,Nothing exists
2013-07,-,Nothing exists
2013-10,-,Nothing exists
2014-01,-,Nothing exists
2014-04,0.001,
2014-07,0.001,
