"",BBSF2.M.1.T.00000.TOT01.I.F.BGH.DE.00122.000000.EUR.00,BBSF2.M.1.T.00000.TOT01.I.F.BGH.DE.00122.000000.EUR.00_FLAGS
"",Funds total / Funds total / Deposits and loan claims / Germany / Monetary financial institutes (MFIs) / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:07,
2009-09,62455,
2009-10,60638,
2009-11,58702,
2009-12,54333,
2010-01,56451,
2010-02,56465,
2010-03,51653,
2010-04,43803,
2010-05,50204,
2010-06,51756,
2010-07,53771,
2010-08,51541,
2010-09,51479,
2010-10,48162,
2010-11,50756,
2010-12,47454,
2011-01,53919,
2011-02,56665,
2011-03,55863,
2011-04,57079,
2011-05,56261,
2011-06,56578,
2011-07,57742,
2011-08,63318,
2011-09,67521,
2011-10,68282,
2011-11,69832,
2011-12,65531,
2012-01,67234,
2012-02,64290,
2012-03,63145,
2012-04,64333,
2012-05,66153,
2012-06,67192,
2012-07,65419,
2012-08,64068,
2012-09,64426,
2012-10,63807,
2012-11,63386,
2012-12,59735,
2013-01,60596,
2013-02,59595,
2013-03,61525,
2013-04,60904,
2013-05,59182,
2013-06,62914,
2013-07,62876,
2013-08,60660,
2013-09,61434,
2013-10,64555,
2013-11,57493,
2013-12,59219,
2014-01,58833,
2014-02,59754,
2014-03,58648,
2014-04,59876,
2014-05,60273,
2014-06,57529,
2014-07,57399,
2014-08,58973,
2014-09,58531,
2014-10,56934,
2014-11,56463,
