"",BBK01.TZ5353O,BBK01.TZ5353O_FLAGS
"","Monetary aggregate M3 (from January 2002, excluding currency in circulation; from June 2010, excluding repos with central counterparties) / German contribution / Financial transactions (flows) / Seasonally adjusted",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-27 09:16:06,
1999-01,19.8,
1999-02,4.9,
1999-03,10.1,
1999-04,11.0,
1999-05,15.9,
1999-06,9.1,
1999-07,1.4,
1999-08,6.9,
1999-09,8.4,
1999-10,4.8,
1999-11,18.5,
1999-12,-10.0,
2000-01,6.8,
2000-02,5.6,
2000-03,-0.4,
2000-04,1.0,
2000-05,-4.8,
2000-06,-7.2,
2000-07,-6.1,
2000-08,-3.6,
2000-09,-4.8,
2000-10,-0.2,
2000-11,1.2,
2000-12,-0.5,
2001-01,8.8,
2001-02,13.1,
2001-03,9.9,
2001-04,8.6,
2001-05,4.3,
2001-06,14.2,
2001-07,5.3,
2001-08,10.3,
2001-09,15.7,
2001-10,5.4,
2001-11,-0.1,
2001-12,-9.8,
2002-01,-63.7,
2002-02,-2.8,
2002-03,5.4,
2002-04,2.7,
2002-05,13.7,
2002-06,9.2,
2002-07,3.4,
2002-08,2.2,
2002-09,7.2,
2002-10,14.1,
2002-11,10.9,
2002-12,20.4,
2003-01,-3.1,
2003-02,23.9,
2003-03,0.1,
2003-04,6.3,
2003-05,11.4,
2003-06,8.8,
2003-07,-6.8,
2003-08,0.9,
2003-09,-2.6,
2003-10,6.0,
2003-11,10.8,
2003-12,3.4,
2004-01,-2.3,
2004-02,3.1,
2004-03,4.4,
2004-04,-2.0,
2004-05,2.5,
2004-06,-3.4,
2004-07,4.5,
2004-08,2.6,
2004-09,3.6,
2004-10,1.7,
2004-11,2.7,
2004-12,-3.0,
2005-01,17.9,
2005-02,3.9,
2005-03,-6.7,
2005-04,9.3,
2005-05,6.8,
2005-06,9.1,
2005-07,9.3,
2005-08,8.7,
2005-09,-0.8,
2005-10,10.1,
2005-11,-3.7,
2005-12,2.4,
2006-01,9.7,
2006-02,0.1,
2006-03,18.4,
2006-04,14.8,
2006-05,3.3,
2006-06,5.4,
2006-07,-5.3,
2006-08,5.2,
2006-09,5.2,
2006-10,-5.8,
2006-11,8.6,
2006-12,18.4,
2007-01,13.2,
2007-02,6.5,
2007-03,18.5,
2007-04,5.5,
2007-05,8.2,
2007-06,24.2,
2007-07,15.2,
2007-08,10.8,
2007-09,20.1,
2007-10,-0.4,
2007-11,32.9,
2007-12,29.1,
2008-01,24.6,
2008-02,17.9,
2008-03,11.6,
2008-04,12.7,
2008-05,7.2,
2008-06,8.6,
2008-07,12.1,
2008-08,5.3,
2008-09,9.9,
2008-10,39.7,
2008-11,22.8,
2008-12,-0.4,
2009-01,22.7,
2009-02,9.3,
2009-03,-16.0,
2009-04,17.4,
2009-05,-12.9,
2009-06,-17.4,
2009-07,-11.4,
2009-08,-19.0,
2009-09,1.5,
2009-10,-0.6,
2009-11,-9.3,
2009-12,4.4,
2010-01,9.6,
2010-02,2.9,
2010-03,-7.8,
2010-04,31.5,
2010-05,6.7,
2010-06,7.9,
2010-07,-1.2,
2010-08,4.9,
2010-09,8.2,
2010-10,-2.3,
2010-11,8.5,
2010-12,6.5,
2011-01,22.1,
2011-02,-7.0,
2011-03,14.0,
2011-04,11.0,
2011-05,4.4,
2011-06,13.2,
2011-07,8.4,
2011-08,15.6,
2011-09,12.3,
2011-10,-4.1,
2011-11,11.4,
2011-12,6.5,
2012-01,16.4,
2012-02,15.1,
2012-03,13.3,
2012-04,1.9,
2012-05,13.4,
2012-06,29.9,
2012-07,27.0,
2012-08,2.1,
2012-09,9.6,
2012-10,38.4,
2012-11,2.1,
2012-12,-22.9,
2013-01,3.2,
2013-02,0.8,
2013-03,1.1,
2013-04,24.1,
2013-05,0.5,
2013-06,-2.5,
2013-07,11.3,
2013-08,4.2,
2013-09,4.3,
2013-10,20.0,
2013-11,-11.4,
2013-12,4.5,
2014-01,13.9,
2014-02,18.6,
2014-03,-0.1,
2014-04,21.5,
2014-05,14.3,
2014-06,2.2,
2014-07,7.5,
2014-08,14.2,
2014-09,-1.4,
2014-10,3.7,
2014-11,13.3,
2014-12,-7.6,Provisional value
2015-01,42.0,
