"",BBK01.OELL01P,BBK01.OELL01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:41,
2002-01,4.757,
2002-04,4.713,
2002-07,4.471,
2002-10,4.598,
2003-01,4.838,
2003-04,4.834,
2003-07,4.780,
2003-10,4.866,
2004-01,4.887,
2004-04,4.869,
2004-07,4.841,
2004-10,4.902,
2005-01,4.895,
2005-04,4.885,
2005-07,4.876,
2005-10,4.920,
2006-01,4.904,
2006-04,4.840,
2006-07,4.829,
2006-10,4.817,
2007-01,4.807,
2007-04,4.801,
2007-07,4.780,
2007-10,4.831,
2008-01,4.830,
2008-04,4.782,
2008-07,4.715,
2008-10,4.971,
2009-01,5.027,
2009-04,5.067,
2009-07,5.084,
2009-10,5.241,
2010-01,5.384,
2010-04,5.466,
2010-07,5.487,
2010-10,5.580,
2011-01,5.593,
2011-04,5.613,
2011-07,5.608,
2011-10,5.723,
2012-01,5.763,
2012-04,5.822,
2012-07,5.824,
2012-10,5.869,
2013-01,5.807,
2013-04,5.830,
2013-07,5.761,
2013-10,5.883,
2014-01,5.886,
2014-04,5.934,
2014-07,5.948,
