"",BBK01.OEXB12U,BBK01.OEXB12U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:25,
2002-01,1.968,
2002-04,2.019,
2002-07,2.030,
2002-10,2.054,
2003-01,2.068,
2003-04,2.072,
2003-07,2.101,
2003-10,2.130,
2004-01,2.097,
2004-04,2.068,
2004-07,2.064,
2004-10,2.103,
2005-01,2.086,
2005-04,2.099,
2005-07,2.099,
2005-10,2.150,
2006-01,2.144,
2006-04,2.159,
2006-07,2.185,
2006-10,2.211,
2007-01,2.238,
2007-04,2.251,
2007-07,2.299,
2007-10,2.441,
2008-01,2.438,
2008-04,2.454,
2008-07,2.512,
2008-10,2.529,
2009-01,2.505,
2009-04,2.525,
2009-07,2.537,
2009-10,2.584,
2010-01,2.604,
2010-04,2.646,
2010-07,2.753,
2010-10,2.859,
2011-01,2.891,
2011-04,2.957,
2011-07,3.003,
2011-10,3.045,
2012-01,3.062,
2012-04,3.114,
2012-07,3.105,
2012-10,3.146,
2013-01,3.179,
2013-04,3.189,
2013-07,3.210,
2013-10,3.301,
2014-01,3.272,
2014-04,3.384,
2014-07,3.181,
