"",BBK01.CEHD2Q,BBK01.CEHD2Q_FLAGS
"",Currency and transferable deposits (consolidated) debtor: Domestic financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:01,
1991-01,-27.8,
1991-04,15.3,
1991-07,-17.4,
1991-10,32.1,
1992-01,-28.7,
1992-04,10.6,
1992-07,6.3,
1992-10,29.1,
1993-01,-22.9,
1993-04,17.5,
1993-07,9.1,
1993-10,43.6,
1994-01,-26.0,
1994-04,14.3,
1994-07,1.4,
1994-10,35.8,
1995-01,-31.7,
1995-04,13.7,
1995-07,4.2,
1995-10,47.3,
1996-01,-23.3,
1996-04,25.1,
1996-07,0.5,
1996-10,71.6,
1997-01,-20.5,
1997-04,19.1,
1997-07,-4.7,
1997-10,48.4,
1998-01,-2.2,
1998-04,32.6,
1998-07,-18.2,
1998-10,88.1,
1999-01,41.0,
1999-04,19.4,
1999-07,-8.5,
1999-10,-18.5,
2000-01,71.0,
2000-04,3.1,
2000-07,-7.9,
2000-10,14.0,
2001-01,46.3,
2001-04,5.6,
2001-07,-1.7,
2001-10,-45.6,
2002-01,11.5,
2002-04,63.1,
2002-07,20.1,
2002-10,13.3,
2003-01,52.2,
2003-04,56.1,
2003-07,6.5,
2003-10,-29.4,
2004-01,85.8,
2004-04,12.2,
2004-07,19.1,
2004-10,-59.5,
2005-01,122.3,
2005-04,37.0,
2005-07,6.6,
2005-10,-29.1,
2006-01,69.6,
2006-04,57.4,
2006-07,-13.9,
2006-10,29.6,
2007-01,41.6,
2007-04,60.1,
2007-07,12.9,
2007-10,-48.6,
2008-01,109.2,
2008-04,14.6,
2008-07,32.0,
2008-10,12.3,
2009-01,146.7,
2009-04,58.5,
2009-07,0.4,
2009-10,13.7,
2010-01,83.6,
2010-04,116.2,
2010-07,-41.1,
2010-10,-36.6,
2011-01,23.9,
2011-04,29.4,
2011-07,106.4,
2011-10,-17.5,
2012-01,143.9,
2012-04,110.3,
2012-07,79.9,
2012-10,-13.5,
2013-01,-32.9,
2013-04,43.8,
2013-07,22.8,
2013-10,-20.4,
2014-01,34.7,
