"",BBSF2.M.1.T.00000.TOT01.I.F.SVB.Z5.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.TOT01.I.F.SVB.Z5.00000.F33200.Z01.M1_FLAGS
"",Funds total / Funds total / Long-term debt securities,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:10,
2009-09,532887,
2009-10,534844,
2009-11,543102,
2009-12,551143,
2010-01,560492,
2010-02,566553,
2010-03,577375,
2010-04,575743,
2010-05,580376,
2010-06,581584,
2010-07,585322,
2010-08,602482,
2010-09,600977,
2010-10,603357,
2010-11,594840,
2010-12,589824,
2011-01,584542,
2011-02,588496,
2011-03,586262,
2011-04,584003,
2011-05,590379,
2011-06,586755,
2011-07,593594,
2011-08,596044,
2011-09,593793,
2011-10,594013,
2011-11,583272,
2011-12,598975,
2012-01,606190,
2012-02,620535,
2012-03,625911,
2012-04,629645,
2012-05,641288,
2012-06,639475,
2012-07,657745,
2012-08,662992,
2012-09,666600,
2012-10,670896,
2012-11,680660,
2012-12,686925,
2013-01,680965,
2013-02,691344,
2013-03,699350,
2013-04,710458,
2013-05,706439,
2013-06,691997,
2013-07,699979,
2013-08,699118,
2013-09,703488,
2013-10,705086,
2013-11,712198,
2013-12,708148,
2014-01,722631,
2014-02,726593,
2014-03,739089,
2014-04,743300,
2014-05,756668,
2014-06,764469,
2014-07,771679,
2014-08,786785,
2014-09,792989,
2014-10,801924,
2014-11,815090,
