"",BBK01.OECB04U,BBK01.OECB04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:11,
2002-01,3.205,
2002-04,3.161,
2002-07,3.107,
2002-10,3.084,
2003-01,2.984,
2003-04,2.947,
2003-07,2.880,
2003-10,2.868,
2004-01,2.858,
2004-04,2.878,
2004-07,2.869,
2004-10,2.729,
2005-01,3.305,
2005-04,3.217,
2005-07,3.173,
2005-10,3.107,
2006-01,3.093,
2006-04,3.066,
2006-07,3.072,
2006-10,3.038,
2007-01,2.994,
2007-04,3.019,
2007-07,2.991,
2007-10,3.007,
2008-01,2.993,
2008-04,2.991,
2008-07,2.983,
2008-10,2.949,
2009-01,2.938,
2009-04,3.772,
2009-07,3.739,
2009-10,3.680,
2010-01,3.649,
2010-04,3.612,
2010-07,3.620,
2010-10,3.543,
2011-01,3.568,
2011-04,3.527,
2011-07,3.484,
2011-10,3.397,
2012-01,3.376,
2012-04,3.382,
2012-07,3.349,
2012-10,3.327,
2013-01,3.328,
2013-04,3.306,
2013-07,3.445,
2013-10,3.467,
2014-01,3.432,
2014-04,3.387,
2014-07,3.444,
