"",BBK01.CEL0I0,BBK01.CEL0I0_FLAGS
"",External financing total                                       debtor: Households (incl. NPISH)  creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:38,
1999-01,14.4,
1999-04,28.7,
1999-07,17.6,
1999-10,23.0,
2000-01,2.6,
2000-04,18.0,
2000-07,11.5,
2000-10,11.3,
2001-01,-0.2,
2001-04,5.6,
2001-07,10.8,
2001-10,5.2,
2002-01,-3.5,
2002-04,2.4,
2002-07,8.0,
2002-10,8.8,
2003-01,-3.6,
2003-04,7.1,
2003-07,9.1,
2003-10,4.9,
2004-01,-11.0,
2004-04,4.9,
2004-07,8.3,
2004-10,-1.2,
2005-01,-13.3,
2005-04,3.0,
2005-07,3.8,
2005-10,-0.7,
2006-01,-8.1,
2006-04,1.8,
2006-07,5.5,
2006-10,-5.0,
2007-01,-9.5,
2007-04,-1.8,
2007-07,-3.3,
2007-10,-6.5,
2008-01,-9.3,
2008-04,1.2,
2008-07,-1.1,
2008-10,-5.1,
2009-01,-7.9,
2009-04,1.9,
2009-07,3.8,
2009-10,-2.7,
2010-01,-6.4,
2010-04,5.8,
2010-07,5.4,
2010-10,0.6,
2011-01,-3.5,
2011-04,5.1,
2011-07,6.8,
2011-10,4.8,
2012-01,-0.9,
2012-04,6.9,
2012-07,6.2,
2012-10,4.6,
2013-01,-3.4,
2013-04,6.0,
2013-07,8.6,
2013-10,0.2,
2014-01,0.5,
2014-04,5.8,
2014-07,9.6,
