"",BBFN1.M.DE.N.1.A.U2.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.U2.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Euro-area member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:09:06,
1995-01,32.207,
1995-02,32.253,
1995-03,33.355,
1995-04,33.339,
1995-05,33.698,
1995-06,33.765,
1995-07,32.749,
1995-08,32.057,
1995-09,32.790,
1995-10,32.773,
1995-11,33.466,
1995-12,30.848,
1996-01,30.724,
1996-02,31.038,
1996-03,32.008,
1996-04,31.862,
1996-05,31.861,
1996-06,31.988,
1996-07,31.234,
1996-08,29.886,
1996-09,31.183,
1996-10,31.406,
1996-11,32.206,
1996-12,31.150,
1997-01,31.613,
1997-02,31.744,
1997-03,32.893,
1997-04,33.626,
1997-05,33.305,
1997-06,33.865,
1997-07,33.082,
1997-08,31.748,
1997-09,33.428,
1997-10,34.418,
1997-11,35.258,
1997-12,33.914,
1998-01,34.360,
1998-02,35.666,
1998-03,36.736,
1998-04,36.972,
1998-05,37.201,
1998-06,37.319,
1998-07,36.856,
1998-08,34.985,
1998-09,36.293,
1998-10,37.090,
1998-11,36.984,
1998-12,34.956,
1999-01,35.141,
1999-02,36.335,
1999-03,37.732,
1999-04,37.566,
1999-05,37.938,
1999-06,38.921,
1999-07,38.237,
1999-08,36.710,
1999-09,38.291,
1999-10,39.895,
1999-11,40.893,
1999-12,39.378,
2000-01,40.006,
2000-02,41.615,
2000-03,43.678,
2000-04,43.513,
2000-05,44.658,
2000-06,44.806,
2000-07,44.174,
2000-08,43.250,
2000-09,44.937,
2000-10,46.156,
2000-11,47.613,
2000-12,45.263,
2001-01,47.517,
2001-02,47.931,
2001-03,49.699,
2001-04,48.463,
2001-05,49.232,
2001-06,49.349,
2001-07,47.394,
2001-08,46.120,
2001-09,47.540,
2001-10,47.568,
2001-11,48.397,
2001-12,46.133,
2002-01,46.448,
2002-02,46.373,
2002-03,44.906,
2002-04,45.124,
2002-05,44.421,
2002-06,45.832,
2002-07,44.423,
2002-08,41.964,
2002-09,43.096,
2002-10,44.153,
2002-11,44.446,
2002-12,42.427,
2003-01,43.063,
2003-02,42.990,
2003-03,44.612,
2003-04,44.236,
2003-05,43.552,
2003-06,43.876,
2003-07,42.796,
2003-08,41.078,
2003-09,42.166,
2003-10,43.382,
2003-11,45.297,
2003-12,42.467,
2004-01,42.020,
2004-02,44.077,
2004-03,45.212,
2004-04,44.442,
2004-05,44.950,
2004-06,46.415,
2004-07,44.561,
2004-08,42.454,
2004-09,44.313,
2004-10,45.452,
2004-11,47.344,
2004-12,44.855,
2005-01,44.902,
2005-02,45.005,
2005-03,46.709,
2005-04,46.661,
2005-05,46.021,
2005-06,47.328,
2005-07,46.237,
2005-08,43.921,
2005-09,47.038,
2005-10,47.778,
2005-11,49.445,
2005-12,47.324,
2006-01,47.869,
2006-02,48.927,
2006-03,50.584,
2006-04,50.010,
2006-05,49.767,
2006-06,51.244,
2006-07,49.258,
2006-08,47.080,
2006-09,50.302,
2006-10,50.869,
2006-11,53.128,
2006-12,50.911,
2007-01,52.093,
2007-02,53.254,
2007-03,55.526,
2007-04,53.953,
2007-05,54.067,
2007-06,55.501,
2007-07,53.446,
2007-08,51.087,
2007-09,53.557,
2007-10,54.710,
2007-11,57.094,
2007-12,53.861,
2008-01,55.020,
2008-02,56.978,
2008-03,58.138,
2008-04,58.563,
2008-05,59.167,
2008-06,59.175,
2008-07,57.510,
2008-08,55.080,
2008-09,57.589,
2008-10,57.980,
2008-11,57.684,
2008-12,54.324,
2009-01,53.144,
2009-02,50.752,
2009-03,50.716,
2009-04,48.881,
2009-05,48.914,
2009-06,49.978,
2009-07,48.216,
2009-08,46.765,
2009-09,47.995,
2009-10,49.564,
2009-11,50.925,
2009-12,47.873,
2010-01,47.278,
2010-02,47.909,
2010-03,51.435,
2010-04,50.512,
2010-05,51.839,
2010-06,53.602,
2010-07,52.116,
2010-08,50.024,
2010-09,52.714,
2010-10,53.689,
2010-11,53.943,
2010-12,52.045,
2011-01,53.882,
2011-02,57.409,
2011-03,58.115,
2011-04,57.776,
2011-05,58.641,
2011-06,60.076,
2011-07,58.052,
2011-08,54.957,
2011-09,58.641,
2011-10,58.513,
2011-11,59.370,
2011-12,58.056,
2012-01,57.349,
2012-02,58.570,
2012-03,60.633,
2012-04,58.060,
2012-05,57.737,
2012-06,59.151,
2012-07,57.504,
2012-08,54.950,
2012-09,57.515,
2012-10,58.090,
2012-11,59.742,
2012-12,54.873,
2013-01,54.802,
2013-02,55.704,
2013-03,58.427,
2013-04,57.104,
2013-05,54.425,
2013-06,56.643,
2013-07,53.443,
2013-08,52.750,
2013-09,55.052,
2013-10,55.591,
2013-11,58.333,
2013-12,55.643,
2014-01,54.991,
2014-02,55.731,
2014-03,57.850,
2014-04,56.308,
2014-05,55.501,
2014-06,56.899,
2014-07,55.353,
2014-08,53.649,
2014-09,55.856,
2014-10,56.681,
2014-11,58.359,
2014-12,56.353,
"","General: From January 2001, including Greece; from January 2007, including Slovenia; from January 2008, including Cyprus and Malta; from January 2009, including Slovakia; from January 2011, including Estonia.",
