"",BBK01.OEYB05M,BBK01.OEYB05M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:16,
2002-01,93.367,
2002-04,89.321,
2002-07,90.227,
2002-10,90.644,
2003-01,91.666,
2003-04,102.211,
2003-07,103.750,
2003-10,103.632,
2004-01,103.420,
2004-04,103.827,
2004-07,101.245,
2004-10,99.717,
2005-01,99.371,
2005-04,100.306,
2005-07,99.665,
2005-10,98.678,
2006-01,99.846,
2006-04,99.834,
2006-07,91.380,
2006-10,93.089,
2007-01,93.500,
2007-04,94.451,
2007-07,96.946,
2007-10,96.818,
2008-01,96.943,
2008-04,96.604,
2008-07,97.756,
2008-10,97.817,
2009-01,99.122,
2009-04,99.334,
2009-07,100.967,
2009-10,100.997,
2010-01,101.969,
2010-04,98.770,
2010-07,98.090,
2010-10,99.488,
2011-01,98.015,
2011-04,99.206,
2011-07,100.084,
2011-10,101.702,
2012-01,98.917,
2012-04,99.642,
2012-07,99.025,
2012-10,99.318,
2013-01,97.482,
2013-04,96.573,
2013-07,95.090,
2013-10,94.738,
2014-01,92.725,
2014-04,91.542,
2014-07,91.191,
