"",BBFN1.M.DE.N.1.A.AT.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.AT.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Austria,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:12:02,
1982-09,0.384,
1982-10,0.381,
1982-11,0.428,
1982-12,0.412,
1983-01,0.420,
1983-02,0.429,
1983-03,0.435,
1983-04,0.432,
1983-05,0.438,
1983-06,0.425,
1983-07,0.437,
1983-08,0.432,
1983-09,0.439,
1983-10,0.436,
1983-11,0.426,
1983-12,0.428,
1984-01,0.424,
1984-02,0.446,
1984-03,0.450,
1984-04,0.448,
1984-05,0.472,
1984-06,0.491,
1984-07,0.459,
1984-08,0.482,
1984-09,0.447,
1984-10,0.428,
1984-11,0.441,
1984-12,0.446,
1985-01,0.512,
1985-02,0.487,
1985-03,0.504,
1985-04,0.527,
1985-05,0.546,
1985-06,0.585,
1985-07,0.595,
1985-08,0.627,
1985-09,0.592,
1985-10,0.605,
1985-11,0.609,
1985-12,0.604,
1986-01,0.633,
1986-02,0.630,
1986-03,0.659,
1986-04,0.650,
1986-05,0.674,
1986-06,0.692,
1986-07,0.637,
1986-08,0.651,
1986-09,0.607,
1986-10,0.674,
1986-11,0.667,
1986-12,0.654,
1987-01,0.646,
1987-02,0.655,
1987-03,0.633,
1987-04,0.671,
1987-05,0.674,
1987-06,0.671,
1987-07,0.666,
1987-08,0.684,
1987-09,0.664,
1987-10,0.685,
1987-11,0.824,
1987-12,0.836,
1988-01,0.687,
1988-02,0.712,
1988-03,0.823,
1988-04,0.911,
1988-05,0.913,
1988-06,0.829,
1988-07,0.853,
1988-08,0.883,
1988-09,0.911,
1988-10,0.883,
1988-11,0.865,
1988-12,0.827,
1989-01,0.832,
1989-02,0.822,
1989-03,0.824,
1989-04,0.890,
1989-05,0.943,
1989-06,0.883,
1989-07,0.963,
1989-08,0.952,
1989-09,0.949,
1989-10,0.953,
1989-11,1.004,
1989-12,0.971,
1990-01,1.053,
1990-02,1.100,
1990-03,1.120,
1990-04,1.151,
1990-05,1.260,
1990-06,1.230,
1990-07,1.377,
1990-08,1.407,
1990-09,1.474,
1990-10,1.391,
1990-11,1.390,
1990-12,1.258,
1991-01,1.399,
1991-02,1.547,
1991-03,1.726,
1991-04,1.813,
1991-05,2.037,
1991-06,2.002,
1991-07,2.249,
1991-08,2.133,
1991-09,1.965,
1991-10,2.120,
1991-11,2.012,
1991-12,1.305,
1992-01,1.291,
1992-02,1.270,
1992-03,1.349,
1992-04,1.462,
1992-05,1.463,
1992-06,1.542,
1992-07,1.760,
1992-08,1.785,
1992-09,1.814,
1992-10,1.822,
1992-11,1.703,
1992-12,1.395,
1993-01,1.372,
1993-02,1.415,
1993-03,1.455,
1993-04,1.583,
1993-05,1.657,
1993-06,1.774,
1993-07,1.622,
1993-08,1.660,
1993-09,1.788,
1993-10,1.906,
1993-11,1.848,
1993-12,1.807,
1994-01,1.803,
1994-02,1.892,
1994-03,2.001,
1994-04,1.903,
1994-05,1.868,
1994-06,2.010,
1994-07,1.984,
1994-08,2.035,
1994-09,1.996,
1994-10,1.909,
1994-11,1.871,
1994-12,1.771,
1995-01,1.819,
1995-02,1.846,
1995-03,2.005,
1995-04,1.993,
1995-05,1.928,
1995-06,1.937,
1995-07,1.917,
1995-08,1.901,
1995-09,1.919,
1995-10,2.092,
1995-11,1.937,
1995-12,1.854,
1996-01,1.681,
1996-02,1.742,
1996-03,1.791,
1996-04,1.818,
1996-05,1.843,
1996-06,1.815,
1996-07,1.792,
1996-08,1.786,
1996-09,2.023,
1996-10,2.307,
