"",BBQFS.M.DE.CORP.PRICE_DAX._X.0000,BBQFS.M.DE.CORP.PRICE_DAX._X.0000_FLAGS
"",DAX price index (FSR 2014),
unit,,
unit multiplier,one,
last update,2015-01-07 17:09:21,
1999-01,4057.43,
1999-02,3859.88,
1999-03,3835.66,
1999-04,4229.93,
1999-05,3934.06,
1999-06,4188.30,
1999-07,3969.39,
1999-08,4100.66,
1999-09,4006.44,
1999-10,4298.62,
1999-11,4584.13,
1999-12,5409.33,
2000-01,5314.07,
2000-02,5939.29,
2000-03,5904.71,
2000-04,5739.40,
2000-05,5475.93,
2000-06,5300.34,
2000-07,5519.15,
2000-08,5539.47,
2000-09,5218.27,
2000-10,5432.67,
2000-11,4888.22,
2000-12,4934.85,
2001-01,5212.04,
2001-02,4757.29,
2001-03,4465.23,
2001-04,4769.96,
2001-05,4627.06,
2001-06,4567.89,
2001-07,4415.91,
2001-08,3908.38,
2001-09,3245.65,
2001-10,3434.73,
2001-11,3759.27,
2001-12,3887.48,
2002-01,3843.41,
2002-02,3791.84,
2002-03,4059.42,
2002-04,3778.81,
2002-05,3577.48,
2002-06,3245.86,
2002-07,2739.51,
2002-08,2749.01,
2002-09,2050.26,
2002-10,2334.46,
2002-11,2458.45,
2002-12,2141.78,
2003-01,2028.67,
2003-02,1879.17,
2003-03,1788.00,
2003-04,2150.62,
2003-05,2159.29,
2003-06,2321.19,
2003-07,2513.83,
2003-08,2511.46,
2003-09,2347.28,
2003-10,2635.01,
2003-11,2699.84,
2003-12,2857.84,
2004-01,2917.82,
2004-02,2889.00,
2004-03,2772.94,
2004-04,2835.83,
2004-05,2775.98,
2004-06,2861.10,
2004-07,2750.17,
2004-08,2672.23,
2004-09,2748.25,
2004-10,2795.80,
2004-11,2912.81,
2004-12,3004.65,
2005-01,2995.49,
2005-02,3063.09,
2005-03,3061.74,
2005-04,2901.76,
2005-05,3069.20,
2005-06,3154.44,
2005-07,3360.93,
2005-08,3321.85,
2005-09,3469.34,
2005-10,3390.21,
2005-11,3572.02,
2005-12,3719.79,
2006-01,3893.64,
2006-02,3977.27,
2006-03,4096.80,
2006-04,4104.55,
2006-05,3830.30,
2006-06,3815.63,
2006-07,3814.74,
2006-08,3933.97,
2006-09,4031.16,
2006-10,4208.80,
2006-11,4235.84,
2006-12,4429.01,
2007-01,4547.28,
2007-02,4498.22,
2007-03,4633.26,
2007-04,4916.03,
2007-05,5156.24,
2007-06,5237.97,
2007-07,4961.15,
2007-08,4996.50,
2007-09,5142.60,
2007-10,5245.77,
2007-11,5148.50,
2007-12,5277.23,
2008-01,4470.89,
2008-02,4402.65,
2008-03,4263.65,
2008-04,4474.54,
2008-05,4489.89,
2008-06,4058.45,
2008-07,4097.18,
2008-08,4060.97,
2008-09,3687.09,
2008-10,3154.01,
2008-11,2952.60,
2008-12,3041.60,
2009-01,2730.97,
2009-02,2419.31,
2009-03,2570.99,
2009-04,2955.33,
2009-05,2989.35,
2009-06,2909.05,
2009-07,3225.75,
2009-08,3305.88,
2009-09,3433.26,
2009-10,3275.85,
2009-11,3403.48,
2009-12,3604.02,
2010-01,3383.81,
2010-02,3377.82,
2010-03,3712.18,
2010-04,3667.73,
2010-05,3498.76,
2010-06,3497.52,
2010-07,3604.49,
2010-08,3473.90,
2010-09,3652.00,
2010-10,3870.31,
2010-11,3921.39,
2010-12,4053.71,
2011-01,4136.11,
2011-02,4249.07,
2011-03,4114.03,
2011-04,4360.07,
2011-05,4138.33,
2011-06,4184.30,
2011-07,4061.01,
2011-08,3281.65,
2011-09,3121.22,
2011-10,3483.90,
2011-11,3454.12,
2011-12,3346.06,
2012-01,3649.71,
2012-02,3874.59,
2012-03,3924.79,
2012-04,3765.65,
2012-05,3429.12,
2012-06,3507.44,
2012-07,3702.04,
2012-08,3810.56,
2012-09,3944.69,
2012-10,3969.01,
2012-11,4048.20,
2012-12,4161.30,
2013-01,4235.76,
2013-02,4217.21,
2013-03,4245.47,
2013-04,4251.86,
2013-05,4419.52,
2013-06,4209.43,
2013-07,4376.95,
2013-08,4285.55,
2013-09,4545.36,
2013-10,4777.81,
2013-11,4974.22,
2013-12,5051.89,
2014-01,4907.42,
2014-02,5110.05,
2014-03,5037.49,
2014-04,5030.34,
2014-05,5115.54,
2014-06,5058.86,
2014-07,4839.91,
2014-08,4872.16,
2014-09,4874.28,
2014-10,4798.44,
"",Source: Bloomberg,
