"",BBK01.OEAH10I,BBK01.OEAH10I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:23,
2002-01,0.986,
2002-04,0.985,
2002-07,0.977,
2002-10,0.970,
2003-01,0.932,
2003-04,1.117,
2003-07,0.902,
2003-10,0.882,
2004-01,0.861,
2004-04,0.864,
2004-07,0.852,
2004-10,0.831,
2005-01,0.808,
2005-04,0.786,
2005-07,0.768,
2005-10,0.738,
2006-01,0.691,
2006-04,0.667,
2006-07,0.644,
2006-10,0.612,
2007-01,0.956,
2007-04,1.029,
2007-07,1.040,
2007-10,1.615,
2008-01,1.711,
2008-04,1.834,
2008-07,1.911,
2008-10,1.937,
2009-01,2.190,
2009-04,2.231,
2009-07,2.250,
2009-10,2.503,
2010-01,2.939,
2010-04,3.361,
2010-07,3.435,
2010-10,0.912,
2011-01,0.912,
2011-04,1.005,
2011-07,1.056,
2011-10,1.051,
2012-01,1.072,
2012-04,1.083,
2012-07,1.087,
2012-10,1.006,
2013-01,0.876,
2013-04,0.738,
2013-07,0.758,
2013-10,0.761,
2014-01,0.870,
2014-04,0.869,
2014-07,1.013,
