"",BBK01.OEAF02L,BBK01.OEAF02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:12,
2002-01,83.130,
2002-04,85.114,
2002-07,86.737,
2002-10,86.579,
2003-01,88.026,
2003-04,92.271,
2003-07,96.999,
2003-10,100.260,
2004-01,100.401,
2004-04,102.947,
2004-07,103.977,
2004-10,104.819,
2005-01,105.886,
2005-04,107.496,
2005-07,110.046,
2005-10,111.518,
2006-01,112.260,
2006-04,110.127,
2006-07,114.906,
2006-10,115.687,
2007-01,112.762,
2007-04,115.701,
2007-07,122.241,
2007-10,126.555,
2008-01,126.610,
2008-04,125.688,
2008-07,130.456,
2008-10,129.442,
2009-01,129.895,
2009-04,132.161,
2009-07,133.626,
2009-10,135.278,
2010-01,134.539,
2010-04,135.358,
2010-07,136.250,
2010-10,137.258,
2011-01,136.015,
2011-04,137.010,
2011-07,138.423,
2011-10,139.428,
2012-01,138.720,
2012-04,139.857,
2012-07,141.899,
2012-10,142.377,
2013-01,142.295,
2013-04,142.728,
2013-07,143.839,
2013-10,144.416,
2014-01,144.533,
2014-04,145.568,
2014-07,146.688,
