"",BBFB1.Q.N.DE.RU.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.RU.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / Russian Federation,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:25,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,0.485,
1992-07,0.727,
1992-10,0.727,
1993-01,4.327,
1993-04,4.327,
1993-07,4.327,
1993-10,4.327,
1994-01,-0.250,
1994-04,-0.250,
1994-07,-0.250,
1994-10,-0.255,
1995-01,12.046,
1995-04,13.260,
1995-07,13.579,
1995-10,6.314,
1996-01,10.594,
1996-04,12.304,
1996-07,7.355,
1996-10,6.735,
1997-01,-10.750,
1997-04,-10.737,
1997-07,-10.737,
1997-10,-10.737,
1998-01,-,Nothing exists
1998-04,-1.506,
1998-07,-0.198,
1998-10,-67.538,
1999-01,-,Nothing exists
1999-04,-3.807,
1999-07,-5.546,
1999-10,-3.000,
2000-01,11.991,
2000-04,4.989,
2000-07,9.000,
2000-10,9.000,
2001-01,-12.038,
2001-04,-27.896,
2001-07,-24.021,
2001-10,-31.388,
2002-01,32.508,
2002-04,30.041,
2002-07,38.728,
2002-10,41.636,
2003-01,43.668,
2003-04,50.834,
2003-07,43.537,
2003-10,55.576,
2004-01,126.410,
2004-04,74.667,
2004-07,97.385,
2004-10,91.616,
2005-01,177.899,
2005-04,140.703,
2005-07,116.271,
2005-10,105.811,
2006-01,250.944,
2006-04,143.969,
2006-07,272.039,
2006-10,282.058,
2007-01,393.691,
2007-04,318.021,
2007-07,234.566,
2007-10,157.741,
2008-01,262.124,
2008-04,13.307,
2008-07,-199.606,
2008-10,205.556,
2009-01,158.715,
2009-04,-31.185,
2009-07,-171.944,
2009-10,18.367,
2010-01,328.377,
2010-04,98.013,
2010-07,-358.939,
2010-10,105.517,
2011-01,329.548,
2011-04,-28.261,
2011-07,37.671,
2011-10,152.981,
2012-01,367.999,
2012-04,-102.006,
2012-07,-407.323,
2012-10,209.742,
2013-01,581.244,
2013-04,83.244,
2013-07,-969.283,
2013-10,567.710,
2014-01,467.193,Provisional value
2014-04,279.251,Provisional value
2014-07,-926.592,Provisional value
2014-10,612.414,Provisional value
