"",BBK01.OEYB03P,BBK01.OEYB03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:54,
2002-01,0.657,
2002-04,0.614,
2002-07,0.604,
2002-10,0.573,
2003-01,0.545,
2003-04,0.552,
2003-07,0.594,
2003-10,0.592,
2004-01,0.618,
2004-04,0.738,
2004-07,0.682,
2004-10,0.738,
2005-01,0.711,
2005-04,0.771,
2005-07,0.690,
2005-10,0.642,
2006-01,0.684,
2006-04,0.660,
2006-07,0.678,
2006-10,0.775,
2007-01,0.804,
2007-04,0.863,
2007-07,0.868,
2007-10,1.008,
2008-01,1.081,
2008-04,1.302,
2008-07,1.447,
2008-10,1.441,
2009-01,1.422,
2009-04,1.406,
2009-07,1.450,
2009-10,1.383,
2010-01,1.356,
2010-04,0.630,
2010-07,0.671,
2010-10,0.936,
2011-01,0.929,
2011-04,1.017,
2011-07,1.142,
2011-10,1.154,
2012-01,1.130,
2012-04,1.168,
2012-07,1.114,
2012-10,1.168,
2013-01,1.149,
2013-04,1.048,
2013-07,1.107,
2013-10,1.127,
2014-01,1.096,
2014-04,1.117,
2014-07,1.125,
