"",BBK01.RU5826,BBK01.RU5826_FLAGS
"","Banks in Germany: Liabilities to non-residents, total / Korea, Republic of / All currencies",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:25:17,
1982-06,0.072,
1982-07,0.067,
1982-08,0.062,
1982-09,0.068,
1982-10,0.064,
1982-11,0.065,
1982-12,0.071,
1983-01,0.071,
1983-02,0.071,
1983-03,0.069,
1983-04,0.066,
1983-05,0.069,
1983-06,0.071,
1983-07,0.063,
1983-08,0.066,
1983-09,0.058,
1983-10,0.059,
1983-11,0.069,
1983-12,0.061,
1984-01,0.070,
1984-02,0.077,
1984-03,0.081,
1984-04,0.057,
1984-05,0.069,
1984-06,0.059,
1984-07,0.102,
1984-08,0.105,
1984-09,0.095,
1984-10,0.069,
1984-11,0.126,
1984-12,0.080,
1985-01,0.079,
1985-02,0.072,
1985-03,0.104,
1985-04,0.090,
1985-05,0.076,
1985-06,0.068,
1985-07,0.083,
1985-08,0.077,
1985-09,0.078,
1985-10,0.077,
1985-11,0.067,
1985-12,0.081,
1986-01,0.070,
1986-02,0.077,
1986-03,0.076,
1986-04,0.072,
1986-05,0.067,
1986-06,0.074,
1986-07,0.080,
1986-08,0.088,
1986-09,0.096,
1986-10,0.084,
1986-11,0.086,
1986-12,0.097,
1987-01,0.100,
1987-02,0.090,
1987-03,0.092,
1987-04,0.081,
1987-05,0.096,
1987-06,0.099,
1987-07,0.091,
1987-08,0.097,
1987-09,0.112,
1987-10,0.103,
1987-11,0.081,
1987-12,0.101,
1988-01,0.099,
1988-02,0.077,
1988-03,0.137,
1988-04,0.100,
1988-05,0.116,
1988-06,0.109,
1988-07,0.135,
1988-08,0.098,
1988-09,0.119,
1988-10,0.103,
1988-11,0.127,
1988-12,0.108,
1989-01,0.105,
1989-02,0.120,
1989-03,0.112,
1989-04,0.109,
1989-05,0.128,
1989-06,0.153,
1989-07,0.126,
1989-08,0.134,
1989-09,0.140,
1989-10,0.195,
1989-11,0.128,
1989-12,0.161,
1990-01,0.138,
1990-02,0.110,
1990-03,0.123,
1990-04,0.103,
1990-05,0.113,
1990-06,0.160,
1990-07,0.105,
1990-08,0.101,
1990-09,0.121,
1990-10,0.171,
1990-11,0.122,
1990-12,0.116,
1991-01,0.142,
1991-02,0.142,
1991-03,0.157,
1991-04,0.188,
1991-05,0.161,
1991-06,0.112,
1991-07,0.145,
1991-08,0.162,
1991-09,0.169,
1991-10,0.151,
1991-11,0.138,
1991-12,0.171,
1992-01,0.154,
1992-02,0.171,
1992-03,0.176,
1992-04,0.179,
1992-05,0.192,
1992-06,0.172,
1992-07,0.164,
1992-08,0.154,
1992-09,0.171,
1992-10,0.157,
1992-11,0.162,
1992-12,0.213,
1993-01,0.212,
1993-02,0.214,
1993-03,0.221,
1993-04,0.194,
1993-05,0.260,
1993-06,0.218,
1993-07,0.235,
1993-08,0.242,
1993-09,0.275,
1993-10,0.278,
1993-11,0.262,
1993-12,0.251,
1994-01,0.268,
1994-02,0.310,
1994-03,0.300,
1994-04,0.302,
1994-05,0.301,
1994-06,0.322,
1994-07,0.308,
1994-08,0.361,
1994-09,0.313,
1994-10,0.327,
1994-11,0.342,
1994-12,0.342,
1995-01,0.377,
1995-02,0.477,
1995-03,0.587,
1995-04,0.672,
1995-05,0.687,
1995-06,0.564,
1995-07,0.723,
1995-08,0.810,
1995-09,0.820,
1995-10,0.711,
1995-11,0.639,
1995-12,0.690,
