"",BBK01.OEYB09G,BBK01.OEYB09G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:24,
2002-01,49.911,
2002-04,50.966,
2002-07,50.737,
2002-10,51.409,
2003-01,49.600,
2003-04,52.593,
2003-07,50.210,
2003-10,50.287,
2004-01,50.829,
2004-04,51.696,
2004-07,49.226,
2004-10,49.513,
2005-01,49.811,
2005-04,50.962,
2005-07,53.979,
2005-10,52.674,
2006-01,50.679,
2006-04,50.026,
2006-07,51.308,
2006-10,50.232,
2007-01,51.463,
2007-04,52.358,
2007-07,54.144,
2007-10,56.141,
2008-01,53.557,
2008-04,55.568,
2008-07,59.808,
2008-10,61.790,
2009-01,65.158,
2009-04,65.436,
2009-07,64.666,
2009-10,60.518,
2010-01,59.309,
2010-04,57.101,
2010-07,57.213,
2010-10,56.084,
2011-01,57.086,
2011-04,53.803,
2011-07,53.824,
2011-10,54.653,
2012-01,54.271,
2012-04,55.141,
2012-07,56.075,
2012-10,54.813,
2013-01,55.531,
2013-04,54.179,
2013-07,45.796,
2013-10,45.551,
2014-01,44.649,
2014-04,44.651,
2014-07,44.459,
