"",BBEX3.M.GBP.USD.CM.AC.A01,BBEX3.M.GBP.USD.CM.AC.A01_FLAGS
"",Exchange rates for the US dollar in the United Kingdom / GBP 1 = USD ... (middle),
unit,USD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:24,
1990-01,1.68000,
1990-02,1.69000,
1990-03,1.64750,
1990-04,1.63950,
1990-05,1.67700,
1990-06,1.74450,
1990-07,1.86000,
1990-08,1.89250,
1990-09,1.87350,
1990-10,1.94400,
1990-11,1.93950,
1990-12,1.93000,
1991-01,1.96500,
1991-02,1.91050,
1991-03,1.73900,
1991-04,1.72400,
1991-05,1.69900,
1991-06,1.61900,
1991-07,1.68500,
1991-08,1.68100,
1991-09,1.75300,
1991-10,1.74250,
1991-11,1.76500,
1991-12,1.87100,
1992-01,1.79000,
1992-02,1.75700,
1992-03,1.73550,
1992-04,1.77450,
1992-05,1.82900,
1992-06,1.90400,
1992-07,1.92000,
1992-08,1.98200,
1992-09,1.78150,
1992-10,1.56250,
1992-11,1.51350,
1992-12,1.51400,
1993-01,1.48700,
1993-02,1.42300,
1993-03,1.50550,
1993-04,1.56900,
1993-05,1.56100,
1993-06,1.49350,
1993-07,1.48500,
1993-08,1.48750,
1993-09,1.49550,
1993-10,1.48650,
1993-11,1.48450,
1993-12,1.47950,
1994-01,1.49890,
1994-02,1.48610,
1994-03,1.48460,
1994-04,1.51630,
1994-05,1.51180,
1994-06,1.54350,
1994-07,1.53660,
1994-08,1.53650,
1994-09,1.57700,
1994-10,1.63060,
1994-11,1.56520,
1994-12,1.56450,
1995-01,1.58750,
1995-02,1.58030,
1995-03,1.62880,
1995-04,1.60930,
1995-05,1.58860,
1995-06,1.59090,
1995-07,1.60010,
1995-08,1.54910,
1995-09,1.58270,
1995-10,1.57790,
1995-11,1.52950,
1995-12,1.55260,
1996-01,1.51100,
1996-02,1.53090,
1996-03,1.52650,
1996-04,1.50060,
1996-05,1.54940,
1996-06,1.55380,
1996-07,1.55710,
1996-08,1.56300,
1996-09,1.56340,
1996-10,1.62840,
1996-11,1.68030,
1996-12,1.71130,
1997-01,1.60250,
1997-02,1.63150,
1997-03,1.63000,
1997-04,1.62260,
1997-05,1.63600,
1997-06,1.66430,
1997-07,1.63750,
1997-08,1.62180,
1997-09,1.61540,
1997-10,1.67690,
1997-11,1.68480,
1997-12,1.64540,
1998-01,1.63500,
1998-02,1.64650,
1998-03,1.67460,
1998-04,1.67200,
1998-05,1.63070,
1998-06,1.66850,
1998-07,1.63600,
1998-08,1.66180,
1998-09,1.69940,
1998-10,1.67470,
1998-11,1.65060,
1998-12,1.66380,
1999-01,1.64280,
1999-02,1.60200,
1999-03,1.61430,
1999-04,1.61010,
1999-05,1.60240,
1999-06,1.57630,
1999-07,1.62000,
1999-08,1.60800,
1999-09,1.64690,
1999-10,1.64090,
1999-11,1.59270,
1999-12,1.61170,
2000-01,1.62090,
2000-02,1.57870,
2000-03,1.59530,
2000-04,1.56480,
2000-05,1.49470,
2000-06,1.51390,
2000-07,1.49770,
2000-08,1.45500,
2000-09,1.47850,
2000-10,1.45210,
2000-11,1.41760,
2000-12,1.49380,
2001-01,1.46110,
2001-02,1.44230,
2001-03,1.42170,
2001-04,1.43080,
2001-05,1.42060,
2001-06,1.40640,
2001-07,1.42520,
2001-08,1.45050,
2001-09,1.46970,
2001-10,1.45430,
2001-11,1.42610,
2001-12,1.45540,
2002-01,1.41330,
2002-02,1.41440,
2002-03,1.42400,
2002-04,1.45730,
2002-05,1.46320,
2002-06,1.52430,
2002-07,1.56220,
2002-08,1.54690,
2002-09,1.57260,
2002-10,1.56450,
2002-11,1.55600,
2002-12,1.60990,
2003-01,1.64370,
2003-02,1.57510,
2003-03,1.58065,
2003-04,1.59820,
2003-05,1.63835,
2003-06,1.65015,
2003-07,1.60745,
2003-08,1.58175,
2003-09,1.66140,
2003-10,1.69695,
2003-11,1.71985,
2003-12,1.79015,
2004-01,1.82025,
2004-02,1.85580,
2004-03,1.83785,
2004-04,1.77335,
2004-05,1.83345,
2004-06,1.81350,
2004-07,1.81845,
2004-08,1.79895,
2004-09,1.80955,
2004-10,1.83230,
2004-11,1.91150,
2004-12,1.91990,
2005-01,1.88610,
2005-02,1.92570,
2005-03,1.88960,
2005-04,1.90990,
2005-05,1.82255,
2005-06,1.79244,
2005-07,1.76059,
2005-08,1.79856,
2005-09,1.76910,
2005-10,1.77026,
2005-11,1.73040,
2005-12,1.71674,
2006-01,1.77734,
2006-02,1.75125,
2006-03,1.73455,
2006-04,1.81760,
2006-05,1.87129,
2006-06,1.84956,
2006-07,1.86706,
2006-08,1.90215,
2006-09,1.86794,
2006-10,1.90723,
2006-11,1.96703,
2006-12,1.95714,
2007-01,1.95741,
2007-02,1.95975,
2007-03,1.96136,
2007-04,1.99990,
2007-05,1.97808,
2007-06,2.00634,
2007-07,2.03207,
2007-08,2.01706,
2007-09,2.03737,
2007-10,2.07740,
2007-11,2.05620,
2007-12,1.99060,
2008-01,1.98800,
2008-02,1.98920,
2008-03,1.98750,
2008-04,1.98060,
2008-05,1.97620,
2008-06,1.99020,
2008-07,1.98090,
2008-08,1.82400,
2008-09,1.78250,
2008-10,1.61580,
2008-11,1.53450,
2008-12,1.43780,
2009-01,1.44170,
2009-02,1.42540,
2009-03,1.43340,
2009-04,1.48180,
2009-05,1.61260,
2009-06,1.64690,
2009-07,1.65790,
2009-08,1.62980,
2009-09,1.59940,
2009-10,1.64840,
2009-11,1.64110,
2009-12,1.61490,
2010-01,1.60200,
2010-02,1.52240,
2010-03,1.51670,
2010-04,1.53130,
2010-05,1.44590,
2010-06,1.49620,
2010-07,1.56610,
2010-08,1.53670,
2010-09,1.57550,
2010-10,1.59880,
2010-11,1.55730,
2010-12,1.56550,
2011-01,1.60160,
2011-02,1.62650,
2011-03,1.60300,
2011-04,1.66480,
2011-05,1.64620,
2011-06,1.60560,
2011-07,1.64160,
2011-08,1.62820,
2011-09,1.55790,
2011-10,1.61410,
2011-11,1.57280,
2011-12,1.54610,
2012-01,1.57800,
2012-02,1.59770,
2012-03,1.59810,
2012-04,1.62390,
2012-05,1.53920,
2012-06,1.56860,
2012-07,1.56700,
2012-08,1.58820,
2012-09,1.61490,
2012-10,1.61100,
2012-11,1.60280,
2012-12,1.61680,
2013-01,1.58560,
2013-02,1.51790,
2013-03,1.51810,
2013-04,1.55640,
2013-05,1.51610,
2013-06,1.51670,
2013-07,1.51640,
2013-08,1.54710,
2013-09,1.61940,
2013-10,1.60670,
2013-11,1.63830,
2013-12,1.65280,
2014-01,1.64350,
2014-02,1.67580,
2014-03,1.66730,
2014-04,1.68850,
2014-05,1.67740,
2014-06,1.70970,
2014-07,1.68830,
2014-08,1.66080,
2014-09,1.62120,
2014-10,1.59990,
2014-11,1.56630,
2014-12,1.56080,
2015-01,1.50180,
"","General: * Since November 1993, Bank of England closing rates; previously fixed by the London Stock Exchange.",
"","Source: Since 2010 Bank of England, London 1990 - 2009 Financial Times, London",
