"",BBSF2.M.1.S.00000.IMM01.I.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.IMM01.I.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Real estate funds / Sales receipts,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:20,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,46,
1993-05,8,
1993-06,-,Nothing exists
1993-07,58,
1993-08,42,
1993-09,16,
1993-10,9,
1993-11,8,
1993-12,425,
1994-01,23,
1994-02,2,
1994-03,0,
1994-04,189,
1994-05,10,
1994-06,5,
1994-07,15,
1994-08,26,
1994-09,8,
1994-10,0,
1994-11,11,
1994-12,21,
1995-01,7,
1995-02,19,
1995-03,19,
1995-04,4,
1995-05,19,
1995-06,19,
1995-07,7,
1995-08,34,
1995-09,23,
1995-10,5,
1995-11,23,
1995-12,42,
1996-01,16,
1996-02,5,
1996-03,-,Nothing exists
1996-04,9,
1996-05,42,
1996-06,8,
1996-07,-,Nothing exists
1996-08,-,Nothing exists
1996-09,10,
1996-10,10,
1996-11,69,
1996-12,6,
1997-01,3,
1997-02,10,
1997-03,-,Nothing exists
1997-04,33,
1997-05,3,
1997-06,87,
1997-07,8,
1997-08,8,
1997-09,13,
1997-10,17,
1997-11,13,
1997-12,61,
1998-01,192,
1998-02,13,
1998-03,9,
1998-04,82,
1998-05,10,
1998-06,60,
1998-07,8,
1998-08,-,Nothing exists
1998-09,24,
1998-10,7,
1998-11,49,
1998-12,232,
1999-01,108,
1999-02,8,
1999-03,5,
1999-04,33,
1999-05,42,
1999-06,16,
1999-07,154,
1999-08,33,
1999-09,293,
1999-10,243,
1999-11,188,
1999-12,623,
2000-01,125,
2000-02,6,
2000-03,39,
2000-04,57,
2000-05,117,
2000-06,47,
2000-07,124,
2000-08,27,
2000-09,48,
2000-10,178,
2000-11,236,
2000-12,405,
2001-01,125,
2001-02,95,
2001-03,-,Nothing exists
2001-04,238,
2001-05,100,
2001-06,125,
2001-07,107,
2001-08,154,
2001-09,209,
2001-10,177,
2001-11,284,
2001-12,738,
2002-01,236,
2002-02,141,
2002-03,152,
2002-04,62,
2002-05,183,
2002-06,90,
2002-07,247,
2002-08,416,
2002-09,208,
2002-10,153,
2002-11,166,
2002-12,996,
2003-01,160,
2003-02,17,
2003-03,41,
2003-04,115,
2003-05,101,
2003-06,170,
2003-07,102,
2003-08,40,
2003-09,142,
2003-10,101,
2003-11,45,
2003-12,1279,
2004-01,96,
2004-02,68,
2004-03,100,
2004-04,32,
2004-05,16,
2004-06,144,
2004-07,197,
2004-08,29,
2004-09,55,
2004-10,87,
2004-11,195,
2004-12,1093,
2005-01,123,
2005-02,352,
2005-03,676,
2005-04,102,
2005-05,323,
2005-06,265,
2005-07,120,
2005-08,95,
2005-09,233,
2005-10,115,
2005-11,119,
2005-12,673,
2006-01,183,
2006-02,95,
2006-03,60,
2006-04,89,
2006-05,1512,
2006-06,156,
2006-07,315,
2006-08,80,
2006-09,269,
2006-10,62,
2006-11,212,
2006-12,825,
2007-01,64,
2007-02,38,
2007-03,395,
2007-04,88,
2007-05,251,
2007-06,171,
2007-07,300,
2007-08,231,
2007-09,88,
2007-10,95,
2007-11,297,
2007-12,520,
2008-01,252,
2008-02,272,
2008-03,262,
2008-04,169,
2008-05,218,
2008-06,260,
2008-07,300,
2008-08,259,
2008-09,273,
2008-10,204,
2008-11,807,
2008-12,501,
2009-01,877,
2009-02,109,
2009-03,206,
2009-04,127,
2009-05,505,
2009-06,220,
2009-07,141,
2009-08,399,
2009-09,296,
2009-10,1569,
2009-11,290,
2009-12,967,
2010-01,340,
2010-02,97,
2010-03,93,
2010-04,134,
2010-05,227,
2010-06,76,
2010-07,347,
2010-08,215,
2010-09,154,
2010-10,536,
2010-11,437,
2010-12,767,
2011-01,176,
2011-02,351,
2011-03,310,
2011-04,208,
2011-05,502,
2011-06,258,
2011-07,356,
2011-08,310,
2011-09,356,
2011-10,671,
2011-11,599,
2011-12,964,
2012-01,372,
2012-02,224,
2012-03,434,
2012-04,158,
2012-05,354,
2012-06,660,
2012-07,440,
2012-08,587,
2012-09,434,
2012-10,576,
2012-11,505,
2012-12,1352,
2013-01,825,
2013-02,640,
2013-03,835,
2013-04,628,
2013-05,299,
2013-06,607,
2013-07,531,
2013-08,647,
2013-09,365,
2013-10,357,
2013-11,1430,
2013-12,1351,
2014-01,417,
2014-02,659,
2014-03,1030,
2014-04,270,
2014-05,569,
2014-06,875,
2014-07,606,
2014-08,582,
2014-09,614,
2014-10,652,
2014-11,1301,
