"",BBFB1.M.N.DE.W1.S1.S1.T.D.___D42S.D.F5._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.___D42S.D.F5._Z._T._X.N_FLAGS
"",Current account / Primary income / Investment income / Income from Direct investment / Equity / Dividends and other distributed profits / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:38:39,
1991-01,415.447,
1991-02,107.561,
1991-03,199.528,
1991-04,188.016,
1991-05,228.421,
1991-06,1302.740,
1991-07,436.073,
1991-08,169.454,
1991-09,196.984,
1991-10,100.285,
1991-11,151.449,
1991-12,522.077,
1992-01,671.229,
1992-02,346.214,
1992-03,493.488,
1992-04,247.467,
1992-05,445.150,
1992-06,891.086,
1992-07,504.454,
1992-08,404.865,
1992-09,615.596,
1992-10,223.160,
1992-11,418.762,
1992-12,577.046,
1993-01,621.743,
1993-02,376.451,
1993-03,233.454,
1993-04,303.719,
1993-05,180.179,
1993-06,306.279,
1993-07,293.778,
1993-08,219.914,
1993-09,428.018,
1993-10,157.588,
1993-11,132.602,
1993-12,324.584,
1994-01,733.744,
1994-02,359.397,
1994-03,462.741,
1994-04,252.369,
1994-05,623.213,
1994-06,347.162,
1994-07,681.595,
1994-08,443.648,
1994-09,486.732,
1994-10,219.329,
1994-11,572.375,
1994-12,671.392,
1995-01,496.227,
1995-02,538.443,
1995-03,670.423,
1995-04,225.480,
1995-05,310.415,
1995-06,554.004,
1995-07,622.298,
1995-08,460.257,
1995-09,322.706,
1995-10,634.048,
1995-11,325.489,
1995-12,526.386,
1996-01,148.933,
1996-02,206.692,
1996-03,213.741,
1996-04,390.362,
1996-05,342.101,
1996-06,544.095,
1996-07,2072.019,
1996-08,460.627,
1996-09,922.709,
1996-10,473.755,
1996-11,245.475,
1996-12,1131.477,
1997-01,356.052,
1997-02,395.355,
1997-03,273.994,
1997-04,300.523,
1997-05,720.690,
1997-06,880.780,
1997-07,643.380,
1997-08,186.281,
1997-09,185.747,
1997-10,908.559,
1997-11,657.229,
1997-12,1131.930,
1998-01,272.784,
1998-02,290.115,
1998-03,546.089,
1998-04,769.867,
1998-05,506.536,
1998-06,796.750,
1998-07,1647.831,
1998-08,826.711,
1998-09,582.470,
1998-10,565.399,
1998-11,263.802,
1998-12,2354.970,
1999-01,229.648,
1999-02,1433.866,
1999-03,445.955,
1999-04,552.045,
1999-05,581.185,
1999-06,1030.022,
1999-07,690.883,
1999-08,672.183,
1999-09,759.904,
1999-10,1069.557,
1999-11,422.081,
1999-12,2720.439,
2000-01,351.023,
2000-02,348.603,
2000-03,465.827,
2000-04,491.029,
2000-05,501.650,
2000-06,1023.463,
2000-07,831.355,
2000-08,1203.660,
2000-09,843.256,
2000-10,482.351,
2000-11,1088.450,
2000-12,2529.482,
2001-01,233.860,
2001-02,1326.809,
2001-03,928.649,
2001-04,404.719,
2001-05,1007.407,
2001-06,3200.554,
2001-07,477.727,
2001-08,708.939,
2001-09,336.938,
2001-10,245.601,
2001-11,655.096,
2001-12,2081.110,
2002-01,1072.269,
2002-02,637.095,
2002-03,361.046,
2002-04,1120.754,
2002-05,1570.042,
2002-06,952.989,
2002-07,686.599,
2002-08,649.655,
2002-09,404.855,
2002-10,2458.251,
2002-11,550.889,
2002-12,2262.044,
2003-01,233.489,
2003-02,173.892,
2003-03,392.299,
2003-04,2144.686,
2003-05,1609.931,
2003-06,2385.110,
2003-07,1799.108,
2003-08,344.175,
2003-09,188.172,
2003-10,387.095,
2003-11,617.066,
2003-12,1655.433,
2004-01,386.814,
