"",BBSF2.M.1.T.00000.TOT01.I.F.AKT.CA.00000.F05100.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.AKT.CA.00000.F05100.Z01.00_FLAGS
"",Funds total / Funds total / Shares / Canada,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:15,
2009-09,1798,
2009-10,1849,
2009-11,2132,
2009-12,2240,
2010-01,2103,
2010-02,2285,
2010-03,2383,
2010-04,2482,
2010-05,2512,
2010-06,2489,
2010-07,2409,
2010-08,2462,
2010-09,2695,
2010-10,2808,
2010-11,3393,
2010-12,3626,
2011-01,3407,
2011-02,3514,
2011-03,3297,
2011-04,3273,
2011-05,3327,
2011-06,3075,
2011-07,3212,
2011-08,2990,
2011-09,2695,
2011-10,2966,
2011-11,2900,
2011-12,2930,
2012-01,3160,
2012-02,3140,
2012-03,2936,
2012-04,2951,
2012-05,2843,
2012-06,2825,
2012-07,3083,
2012-08,3231,
2012-09,3397,
2012-10,3301,
2012-11,2917,
2012-12,2969,
2013-01,3031,
2013-02,3205,
2013-03,3377,
2013-04,3237,
2013-05,3307,
2013-06,3062,
2013-07,3281,
2013-08,3334,
2013-09,3426,
2013-10,3597,
2013-11,3504,
2013-12,3453,
2014-01,3424,
2014-02,3515,
2014-03,3621,
2014-04,3845,
2014-05,4028,
2014-06,4274,
2014-07,4481,
2014-08,4632,
2014-09,4404,
2014-10,4329,
2014-11,4445,
