"",BBSF2.M.1.T.00000.TOT01.I.F.WPS.SE.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.WPS.SE.00000.000000.Z01.00_FLAGS
"",Funds total / Funds total / Securities total / Sweden,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:59,
2009-09,11294,
2009-10,11314,
2009-11,11417,
2009-12,11375,
2010-01,11293,
2010-02,11834,
2010-03,12573,
2010-04,12905,
2010-05,12788,
2010-06,13061,
2010-07,13212,
2010-08,13623,
2010-09,13865,
2010-10,13927,
2010-11,13988,
2010-12,14156,
2011-01,14079,
2011-02,14311,
2011-03,14183,
2011-04,14226,
2011-05,14884,
2011-06,14697,
2011-07,14831,
2011-08,14488,
2011-09,14281,
2011-10,14412,
2011-11,14181,
2011-12,14395,
2012-01,15029,
2012-02,15447,
2012-03,15893,
2012-04,15944,
2012-05,15967,
2012-06,16403,
2012-07,17577,
2012-08,17358,
2012-09,17313,
2012-10,16830,
2012-11,17020,
2012-12,17171,
2013-01,16681,
2013-02,17046,
2013-03,17448,
2013-04,17649,
2013-05,17696,
2013-06,17089,
2013-07,17088,
2013-08,16983,
2013-09,17065,
2013-10,17210,
2013-11,17167,
2013-12,16964,
2014-01,17027,
2014-02,17535,
2014-03,17665,
2014-04,17577,
2014-05,17455,
2014-06,17220,
2014-07,17144,
2014-08,17323,
2014-09,17496,
2014-10,17493,
2014-11,17638,
