"",BBK01.QUF800,BBK01.QUF800_FLAGS
"","Foreign branches: Liabilities to non-residents, total / Cyprus / Euro",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:46:33,
2004-12,0.038,
2005-01,0.048,
2005-02,0.053,
2005-03,0.030,
2005-04,0.014,
2005-05,0.035,
2005-06,0.015,
2005-07,0.022,
2005-08,0.103,
2005-09,0.058,
2005-10,0.138,
2005-11,0.102,
2005-12,0.092,
2006-01,0.108,
2006-02,0.104,
2006-03,0.037,
2006-04,0.041,
2006-05,0.073,
2006-06,0.080,
2006-07,0.059,
2006-08,0.079,
2006-09,0.095,
2006-10,0.099,
2006-11,0.176,
2006-12,0.096,
2007-01,0.017,
2007-02,0.011,
2007-03,0.023,
2007-04,0.023,
2007-05,0.017,
2007-06,0.027,
2007-07,0.026,
2007-08,0.076,
2007-09,0.056,
2007-10,0.037,
2007-11,0.037,
2007-12,0.053,
2008-01,0.112,
2008-02,0.163,
2008-03,0.129,
2008-04,0.026,
2008-05,0.019,
2008-06,0.025,
2008-07,0.143,
2008-08,0.036,
2008-09,0.027,
2008-10,0.039,
2008-11,0.040,
2008-12,0.074,
2009-01,0.066,
2009-02,0.064,
2009-03,0.068,
2009-04,0.068,
2009-05,0.055,
2009-06,0.058,
2009-07,0.064,
2009-08,0.068,
2009-09,0.053,
2009-10,0.050,
2009-11,0.067,
2009-12,0.056,
2010-01,0.066,
2010-02,0.083,
2010-03,0.074,
2010-04,0.114,
2010-05,0.149,
2010-06,0.138,
2010-07,0.104,
2010-08,0.170,
2010-09,0.105,
2010-10,0.094,
2010-11,0.053,
2010-12,0.042,
2011-01,0.060,
2011-02,0.088,
2011-03,0.063,
2011-04,0.067,
2011-05,0.089,
2011-06,0.129,
2011-07,0.115,
2011-08,0.130,
2011-09,0.139,
2011-10,0.165,
2011-11,0.144,
2011-12,0.206,
2012-01,0.137,
2012-02,0.118,
2012-03,0.070,
2012-04,0.108,
2012-05,0.089,
2012-06,0.067,
2012-07,0.074,
2012-08,0.076,
2012-09,0.065,
2012-10,0.067,
2012-11,0.070,
2012-12,0.070,
2013-01,0.066,
2013-02,0.065,
2013-03,0.314,
2013-04,0.142,
2013-05,0.119,
2013-06,0.127,
2013-07,0.138,
2013-08,0.125,
2013-09,0.097,
2013-10,0.100,
2013-11,0.097,
2013-12,0.109,
2014-01,0.079,
2014-02,0.144,
2014-03,0.106,
2014-04,0.108,
2014-05,0.118,
2014-06,0.064,
2014-07,0.080,
2014-08,0.054,
2014-09,0.052,
2014-10,0.076,
2014-11,0.069,
