"",BBFN1.M.DE.N.1.A.NG.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.NG.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Nigeria,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:20:28,
1994-12,0.358,
1995-01,0.369,
1995-02,0.357,
1995-03,0.374,
1995-04,0.390,
1995-05,0.389,
1995-06,0.394,
1995-07,0.364,
1995-08,0.329,
1995-09,0.324,
1995-10,0.306,
1995-11,0.308,
1995-12,0.331,
1996-01,0.339,
1996-02,0.318,
1996-03,0.333,
1996-04,0.356,
1996-05,0.383,
1996-06,0.396,
1996-07,0.416,
1996-08,0.356,
1996-09,0.381,
1996-10,0.396,
1996-11,0.407,
1996-12,0.393,
1997-01,0.388,
1997-02,0.421,
1997-03,0.451,
1997-04,0.447,
1997-05,0.460,
1997-06,0.466,
1997-07,0.512,
1997-08,0.561,
1997-09,0.575,
1997-10,0.582,
1997-11,0.568,
1997-12,0.548,
1998-01,0.442,
1998-02,0.471,
1998-03,0.473,
1998-04,0.485,
1998-05,0.463,
1998-06,0.536,
1998-07,0.523,
1998-08,0.511,
1998-09,0.509,
1998-10,0.515,
1998-11,0.534,
1998-12,0.511,
1999-01,0.513,
1999-02,0.539,
1999-03,0.577,
1999-04,0.549,
1999-05,0.593,
1999-06,0.361,
1999-07,0.521,
1999-08,0.524,
1999-09,0.523,
1999-10,0.550,
1999-11,0.515,
1999-12,0.535,
2000-01,0.543,
2000-02,0.519,
2000-03,0.537,
2000-04,0.538,
2000-05,0.514,
2000-06,0.346,
2000-07,0.393,
2000-08,0.405,
2000-09,0.438,
2000-10,0.454,
2000-11,0.502,
2000-12,0.526,
2001-01,0.561,
2001-02,0.560,
2001-03,0.600,
2001-04,0.640,
2001-05,0.682,
2001-06,0.628,
2001-07,0.639,
2001-08,0.671,
2001-09,0.648,
2001-10,0.603,
2001-11,0.611,
2001-12,0.648,
2002-01,0.655,
2002-02,0.709,
2002-03,0.707,
2002-04,0.736,
2002-05,0.762,
2002-06,0.776,
2002-07,0.754,
2002-08,0.630,
2002-09,0.654,
2002-10,0.655,
2002-11,0.674,
2002-12,0.661,
2003-01,0.649,
2003-02,0.662,
2003-03,0.665,
2003-04,0.653,
2003-05,0.628,
2003-06,0.618,
2003-07,0.611,
2003-08,0.647,
2003-09,0.618,
2003-10,0.636,
2003-11,0.599,
2003-12,0.567,
2004-01,0.562,
2004-02,0.539,
2004-03,0.531,
2004-04,0.465,
2004-05,0.477,
2004-06,0.469,
2004-07,0.498,
2004-08,0.495,
2004-09,0.487,
2004-10,0.490,
2004-11,0.505,
2004-12,0.387,
2005-01,0.409,
2005-02,0.427,
2005-03,0.453,
2005-04,0.442,
2005-05,0.461,
2005-06,0.473,
2005-07,0.536,
2005-08,0.527,
2005-09,0.517,
2005-10,0.554,
2005-11,0.489,
2005-12,0.423,
2006-01,0.363,
2006-02,0.391,
2006-03,0.309,
2006-04,0.308,
2006-05,0.294,
2006-06,0.313,
2006-07,0.337,
2006-08,0.349,
2006-09,0.342,
2006-10,0.351,
2006-11,0.323,
2006-12,0.272,
2007-01,0.266,
2007-02,0.295,
2007-03,0.291,
2007-04,0.277,
2007-05,0.330,
2007-06,0.388,
2007-07,0.311,
2007-08,0.290,
2007-09,0.274,
2007-10,0.284,
2007-11,0.290,
2007-12,0.319,
2008-01,0.293,
2008-02,0.298,
2008-03,0.276,
2008-04,0.286,
2008-05,0.308,
2008-06,0.283,
2008-07,0.293,
2008-08,0.273,
2008-09,0.314,
2008-10,0.290,
2008-11,0.306,
2008-12,0.289,
2009-01,0.270,
2009-02,0.287,
2009-03,0.260,
2009-04,0.261,
2009-05,0.251,
2009-06,0.280,
2009-07,0.272,
2009-08,0.271,
2009-09,0.272,
2009-10,0.281,
2009-11,0.265,
2009-12,0.266,
2010-01,0.250,
2010-02,0.258,
2010-03,0.276,
2010-04,0.280,
2010-05,0.277,
2010-06,0.297,
2010-07,0.274,
2010-08,0.277,
2010-09,0.277,
2010-10,0.264,
2010-11,0.269,
2010-12,0.207,
2011-01,0.200,
2011-02,0.200,
2011-03,0.210,
2011-04,0.201,
2011-05,0.185,
2011-06,0.182,
2011-07,0.192,
2011-08,0.196,
2011-09,0.205,
2011-10,0.218,
2011-11,0.230,
2011-12,0.232,
2012-01,0.209,
2012-02,0.188,
2012-03,0.211,
2012-04,0.235,
2012-05,0.243,
2012-06,0.243,
2012-07,0.228,
2012-08,0.224,
2012-09,0.223,
2012-10,0.229,
2012-11,0.285,
2012-12,0.285,
2013-01,0.274,
2013-02,0.247,
2013-03,0.264,
2013-04,0.263,
2013-05,0.321,
2013-06,0.318,
2013-07,0.294,
2013-08,0.297,
2013-09,0.311,
2013-10,0.344,
2013-11,0.340,
2013-12,0.377,
2014-01,0.374,
2014-02,0.369,
2014-03,0.363,
2014-04,0.379,
2014-05,0.395,
2014-06,0.424,
2014-07,0.412,
2014-08,0.427,
2014-09,0.436,
2014-10,0.474,
2014-11,0.461,
2014-12,0.459,
