"",BBK01.OELJ04I,BBK01.OELJ04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:38,
2002-01,0.618,
2002-04,0.747,
2002-07,0.792,
2002-10,0.600,
2003-01,0.736,
2003-04,0.741,
2003-07,0.634,
2003-10,0.630,
2004-01,0.452,
2004-04,0.566,
2004-07,0.663,
2004-10,0.607,
2005-01,0.592,
2005-04,0.502,
2005-07,0.548,
2005-10,0.941,
2006-01,0.577,
2006-04,0.600,
2006-07,0.649,
2006-10,0.530,
2007-01,0.714,
2007-04,0.605,
2007-07,0.707,
2007-10,0.801,
2008-01,0.886,
2008-04,0.809,
2008-07,0.966,
2008-10,0.944,
2009-01,0.883,
2009-04,0.804,
2009-07,0.793,
2009-10,0.572,
2010-01,0.459,
2010-04,0.493,
2010-07,0.465,
2010-10,0.473,
2011-01,0.590,
2011-04,0.533,
2011-07,0.564,
2011-10,0.540,
2012-01,0.610,
2012-04,0.581,
2012-07,0.398,
2012-10,0.308,
2013-01,0.281,
2013-04,0.290,
2013-07,0.200,
2013-10,0.141,
2014-01,0.187,
2014-04,0.184,
2014-07,0.167,
