"",BBK01.OEAE06I,BBK01.OEAE06I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:19,
2002-01,3.431,
2002-04,3.467,
2002-07,3.449,
2002-10,3.191,
2003-01,3.082,
2003-04,3.158,
2003-07,3.103,
2003-10,2.768,
2004-01,2.688,
2004-04,2.667,
2004-07,2.662,
2004-10,2.562,
2005-01,2.644,
2005-04,2.713,
2005-07,2.798,
2005-10,2.782,
2006-01,2.683,
2006-04,2.787,
2006-07,2.851,
2006-10,2.744,
2007-01,2.627,
2007-04,2.627,
2007-07,2.638,
2007-10,2.569,
2008-01,2.698,
2008-04,2.742,
2008-07,2.816,
2008-10,2.844,
2009-01,2.851,
2009-04,3.172,
2009-07,3.304,
2009-10,3.074,
2010-01,3.017,
2010-04,3.117,
2010-07,3.229,
2010-10,3.264,
2011-01,3.190,
2011-04,3.154,
2011-07,3.119,
2011-10,3.010,
2012-01,3.004,
2012-04,3.055,
2012-07,3.092,
2012-10,3.046,
2013-01,3.163,
2013-04,3.681,
2013-07,3.747,
2013-10,3.585,
2014-01,3.344,
2014-04,3.519,
2014-07,3.461,
