"",BBFB1.Q.N.DE.U3.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.U3.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Intra EU Extra Euro Area (EU Member States and institutions not belonging to the Euro area) changing composition,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:09,
1991-01,5800.642,
1991-04,-807.827,
1991-07,199.152,
1991-10,584.286,
1992-01,-821.377,
1992-04,-841.583,
1992-07,8917.509,
1992-10,1702.959,
1993-01,-1077.849,
1993-04,2925.637,
1993-07,3630.696,
1993-10,6373.090,
1994-01,3662.076,
1994-04,3777.804,
1994-07,2032.420,
1994-10,4882.829,
1995-01,6619.703,
1995-04,14547.099,
1995-07,5324.034,
1995-10,-4564.560,
1996-01,-5889.420,
1996-04,5557.164,
1996-07,-8790.397,
1996-10,10600.712,
1997-01,16021.329,
1997-04,8876.250,
1997-07,4172.661,
1997-10,13180.261,
1998-01,14129.899,
1998-04,11295.269,
1998-07,6104.143,
1998-10,11904.583,
1999-01,20706.322,
1999-04,-5493.909,
1999-07,-6892.751,
1999-10,5880.008,
2000-01,53144.540,
2000-04,-7677.169,
2000-07,5457.084,
2000-10,18997.269,
2001-01,68990.555,
2001-04,-19396.179,
2001-07,-6645.328,
2001-10,-30166.252,
2002-01,-2130.872,
2002-04,-8101.191,
2002-07,37116.661,
2002-10,-3202.606,
2003-01,14628.501,
2003-04,-2709.615,
2003-07,6828.350,
2003-10,3753.539,
2004-01,38099.280,
2004-04,-28098.958,
2004-07,25213.779,
2004-10,-1595.939,
2005-01,51642.143,
2005-04,-25762.740,
2005-07,23033.731,
2005-10,-25162.943,
2006-01,53379.249,
2006-04,-7133.919,
2006-07,-4993.551,
2006-10,-20348.955,
2007-01,41876.251,
2007-04,849.584,
2007-07,30524.886,
2007-10,-36838.839,
2008-01,70525.475,
2008-04,-54131.251,
2008-07,38610.551,
2008-10,-37708.910,
2009-01,-32478.534,
2009-04,17636.858,
2009-07,-45975.542,
2009-10,-13546.352,
2010-01,44986.266,
2010-04,43065.242,
2010-07,3263.500,
2010-10,8368.203,
2011-01,-24361.142,
2011-04,-22056.151,
2011-07,76548.819,
2011-10,-77221.099,
2012-01,173306.919,
2012-04,-47823.645,
2012-07,-19931.470,
2012-10,-80441.544,
2013-01,-37655.365,
2013-04,-17471.084,
2013-07,-43626.479,
2013-10,-30530.201,
2014-01,17600.388,Provisional value
2014-04,-24737.054,Provisional value
2014-07,8227.262,Provisional value
2014-10,-22499.375,Provisional value
