"",BBNZ1.Q.DE.N.H.0062.A,BBNZ1.Q.DE.N.H.0062.A_FLAGS
"",Germany / National accounts / Origin of GDP / Business services / Chain-linked index,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-24 08:20:28,
1991-01,68.95,
1991-04,66.17,
1991-07,72.59,
1991-10,68.78,
1992-01,72.74,
1992-04,69.27,
1992-07,76.38,
1992-10,72.78,
1993-01,75.46,
1993-04,72.34,
1993-07,79.32,
1993-10,76.11,
1994-01,75.10,
1994-04,71.61,
1994-07,79.55,
1994-10,76.68,
1995-01,78.52,
1995-04,74.71,
1995-07,82.71,
1995-10,80.41,
1996-01,79.71,
1996-04,76.62,
1996-07,84.64,
1996-10,81.81,
1997-01,78.57,
1997-04,77.94,
1997-07,85.47,
1997-10,83.70,
1998-01,82.74,
1998-04,79.88,
1998-07,88.65,
1998-10,86.91,
1999-01,86.31,
1999-04,83.51,
1999-07,91.98,
1999-10,91.34,
2000-01,92.42,
2000-04,88.36,
2000-07,97.05,
2000-10,93.76,
2001-01,95.13,
2001-04,90.43,
2001-07,99.04,
2001-10,95.54,
2002-01,94.40,
2002-04,90.79,
2002-07,99.68,
2002-10,95.35,
2003-01,94.93,
2003-04,90.46,
2003-07,101.45,
2003-10,97.26,
2004-01,93.72,
2004-04,90.38,
2004-07,99.15,
2004-10,95.84,
2005-01,94.84,
2005-04,92.78,
2005-07,101.36,
2005-10,98.56,
2006-01,97.04,
2006-04,93.86,
2006-07,104.26,
2006-10,102.18,
2007-01,104.25,
2007-04,100.62,
2007-07,110.58,
2007-10,106.49,
2008-01,107.75,
2008-04,104.18,
2008-07,111.36,
2008-10,105.99,
2009-01,98.07,
2009-04,91.74,
2009-07,98.99,
2009-10,95.50,
2010-01,99.72,
2010-04,95.26,
2010-07,103.95,
2010-10,101.07,
2011-01,103.93,
2011-04,97.66,
2011-07,105.74,
2011-10,101.44,
2012-01,105.36,
2012-04,98.18,
2012-07,106.37,
2012-10,101.25,
2013-01,104.46,
2013-04,99.51,
2013-07,108.00,
2013-10,103.04,
2014-01,107.44,
2014-04,101.18,
2014-07,110.58,
2014-10,105.64,
